ID,BundleID,Items,Resource1,Amount1,Resource2,Amount2,Resource3,Amount3,InventorySlots,ResourceDistribution,DistributionRange,TalentBonuses,CaptainLevelMultiplier,SubscriptionDays,PremiumDays,FreePremiumDays,XPBonusHours,HC,SC_ITEM,SC_CREW,VICTORY_TOKEN,SEASON_POINT,SC_GUILD,SC_UPGRADE_R1,SC_UPGRADE_R2,SC_UPGRADE_R3,SC_UPGRADE_R4,SC_UPGRADE_R5,SC_EVOLVE_R1,SC_EVOLVE_R2,SC_EVOLVE_R3,SC_EVOLVE_R4,SC_EVOLVE_R5,SC_EVENT_TICKET,SC_BATTLE_COIN
12,CAPTAIN_LEVEL_12,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,70000,SC_CREW,35000,,,,NONE,,0,0,,,,,,70000,35000,,,,,,,,,,,,,,,
13,CAPTAIN_LEVEL_13,,SC_ITEM,80000,SC_CREW,37500,,,,NONE,,0,0,,,,,,80000,37500,,,,,,,,,,,,,,,
14,CAPTAIN_LEVEL_14,,SC_ITEM,90000,SC_CREW,40000,,,,NONE,,0,0,,,,,,90000,40000,,,,,,,,,,,,,,,
15,CAPTAIN_LEVEL_15,,HC,15,SC_ITEM,100000,SC_CREW,75000,,NONE,,0,0,,,,,15,100000,75000,,,,,,,,,,,,,,,
16,CAPTAIN_LEVEL_16,,SC_ITEM,120000,SC_CREW,42000,,,,NONE,,0,0,,,,,,120000,42000,,,,,,,,,,,,,,,
17,CAPTAIN_LEVEL_17,,SC_ITEM,140000,SC_CREW,43000,,,,NONE,,0,0,,,,,,140000,43000,,,,,,,,,,,,,,,
18,CAPTAIN_LEVEL_18,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,160000,SC_CREW,44000,,,,NONE,,0,0,,,,,,160000,44000,,,,,,,,,,,,,,,
19,CAPTAIN_LEVEL_19,,SC_ITEM,180000,SC_CREW,45000,,,,NONE,,0,0,,,,,,180000,45000,,,,,,,,,,,,,,,
20,CAPTAIN_LEVEL_20,,HC,20,SC_ITEM,200000,SC_CREW,100000,,NONE,,0,0,,,,,20,200000,100000,,,,,,,,,,,,,,,
21,CAPTAIN_LEVEL_21,,SC_ITEM,210000,SC_CREW,50000,,,,NONE,,0,0,,,,,,210000,50000,,,,,,,,,,,,,,,
22,CAPTAIN_LEVEL_22,,SC_ITEM,220000,SC_CREW,50000,,,,NONE,,0,0,,,,,,220000,50000,,,,,,,,,,,,,,,
23,CAPTAIN_LEVEL_23,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,230000,SC_CREW,50000,,,,NONE,,0,0,,,,,,230000,50000,,,,,,,,,,,,,,,
24,CAPTAIN_LEVEL_24,,SC_ITEM,240000,SC_CREW,50000,,,,NONE,,0,0,,,,,,240000,50000,,,,,,,,,,,,,,,
25,CAPTAIN_LEVEL_25,,HC,25,SC_ITEM,250000,SC_CREW,100000,,NONE,,0,0,,,,,25,250000,100000,,,,,,,,,,,,,,,
26,CAPTAIN_LEVEL_26,,SC_ITEM,260000,SC_CREW,50000,,,,NONE,,0,0,,,,,,260000,50000,,,,,,,,,,,,,,,
27,CAPTAIN_LEVEL_27,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,270000,SC_CREW,50000,,,,NONE,,0,0,,,,,,270000,50000,,,,,,,,,,,,,,,
28,CAPTAIN_LEVEL_28,,SC_ITEM,280000,SC_CREW,50000,,,,NONE,,0,0,,,,,,280000,50000,,,,,,,,,,,,,,,
29,CAPTAIN_LEVEL_29,,SC_ITEM,290000,SC_CREW,50000,,,,NONE,,0,0,,,,,,290000,50000,,,,,,,,,,,,,,,
30,CAPTAIN_LEVEL_30,,HC,30,SC_ITEM,300000,SC_CREW,100000,,NONE,,0,0,,,,,30,300000,100000,,,,,,,,,,,,,,,
31,CAPTAIN_LEVEL_31,,SC_ITEM,320000,SC_CREW,50000,,,,NONE,,0,0,,,,,,320000,50000,,,,,,,,,,,,,,,
32,CAPTAIN_LEVEL_32,,SC_ITEM,340000,SC_CREW,50000,,,,NONE,,0,0,,,,,,340000,50000,,,,,,,,,,,,,,,
33,CAPTAIN_LEVEL_33,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,360000,SC_CREW,50000,,,,NONE,,0,0,,,,,,360000,50000,,,,,,,,,,,,,,,
34,CAPTAIN_LEVEL_34,,SC_ITEM,380000,SC_CREW,50000,,,,NONE,,0,0,,,,,,380000,50000,,,,,,,,,,,,,,,
35,CAPTAIN_LEVEL_35,,HC,35,SC_ITEM,400000,SC_CREW,100000,,NONE,,0,0,,,,,35,400000,100000,,,,,,,,,,,,,,,
36,CAPTAIN_LEVEL_36,,SC_ITEM,420000,SC_CREW,50000,,,,NONE,,0,0,,,,,,420000,50000,,,,,,,,,,,,,,,
37,CAPTAIN_LEVEL_37,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,440000,SC_CREW,50000,,,,NONE,,0,0,,,,,,440000,50000,,,,,,,,,,,,,,,
38,CAPTAIN_LEVEL_38,,SC_ITEM,460000,SC_CREW,50000,,,,NONE,,0,0,,,,,,460000,50000,,,,,,,,,,,,,,,
39,CAPTAIN_LEVEL_39,,SC_ITEM,480000,SC_CREW,50000,,,,NONE,,0,0,,,,,,480000,50000,,,,,,,,,,,,,,,
40,CAPTAIN_LEVEL_40,,HC,40,SC_ITEM,500000,SC_CREW,100000,,NONE,,0,0,,,,,40,500000,100000,,,,,,,,,,,,,,,
41,CAPTAIN_LEVEL_41,,SC_ITEM,550000,SC_CREW,50000,,,,NONE,,0,0,,,,,,550000,50000,,,,,,,,,,,,,,,
42,CAPTAIN_LEVEL_42,,SC_ITEM,600000,SC_CREW,50000,,,,NONE,,0,0,,,,,,600000,50000,,,,,,,,,,,,,,,
43,CAPTAIN_LEVEL_43,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,650000,SC_CREW,50000,,,,NONE,,0,0,,,,,,650000,50000,,,,,,,,,,,,,,,
44,CAPTAIN_LEVEL_44,,SC_ITEM,700000,SC_CREW,50000,,,,NONE,,0,0,,,,,,700000,50000,,,,,,,,,,,,,,,
45,CAPTAIN_LEVEL_45,,HC,45,SC_ITEM,750000,SC_CREW,100000,,NONE,,0,0,,,,,45,750000,100000,,,,,,,,,,,,,,,
46,CAPTAIN_LEVEL_46,,SC_ITEM,800000,SC_CREW,50000,,,,NONE,,0,0,,,,,,800000,50000,,,,,,,,,,,,,,,
47,CAPTAIN_LEVEL_47,PREMIUM_PEARL_BOX_NO_SHOP,SC_ITEM,850000,SC_CREW,50000,,,,NONE,,0,0,,,,,,850000,50000,,,,,,,,,,,,,,,
48,CAPTAIN_LEVEL_48,,SC_ITEM,900000,SC_CREW,50000,,,,NONE,,0,0,,,,,,900000,50000,,,,,,,,,,,,,,,
49,CAPTAIN_LEVEL_49,,SC_ITEM,950000,SC_CREW,50000,,,,NONE,,0,0,,,,,,950000,50000,,,,,,,,,,,,,,,
50,CAPTAIN_LEVEL_50,,HC,50,SC_ITEM,1000000,SC_CREW,100000,,NONE,,0,0,,,,,50,1000000,100000,,,,,,,,,,,,,,,
51,CAPTAIN_LEVEL_1_STARTING_BALANCE,,HC,100,SC_ITEM,5000,SC_CREW,5000,,NONE,,0,0,,,,,100,5000,5000,,,,,,,,,,,,,,,
201,PEARLS_5,,HC,5,,,,,,NONE,,0,0,,,,,5,,,,,,,,,,,,,,,,,
202,PEARLS_10,,HC,10,,,,,,NONE,,0,0,,,,,10,,,,,,,,,,,,,,,,,
203,PEARLS_15,,HC,15,,,,,,NONE,,0,0,,,,,15,,,,,,,,,,,,,,,,,
204,PEARLS_20,,HC,20,,,,,,NONE,,0,0,,,,,20,,,,,,,,,,,,,,,,,
205,PEARLS_25,,HC,25,,,,,,NONE,,0,0,,,,,25,,,,,,,,,,,,,,,,,
206,PEARLS_30,,HC,30,,,,,,NONE,,0,0,,,,,30,,,,,,,,,,,,,,,,,
207,PEARLS_35,,HC,35,,,,,,NONE,,0,0,,,,,35,,,,,,,,,,,,,,,,,
208,PEARLS_40,,HC,40,,,,,,NONE,,0,0,,,,,40,,,,,,,,,,,,,,,,,
209,PEARLS_45,,HC,45,,,,,,NONE,,0,0,,,,,45,,,,,,,,,,,,,,,,,
210,PEARLS_50,,HC,50,,,,,,NONE,,0,0,,,,,50,,,,,,,,,,,,,,,,,
211,PEARLS_60,,HC,60,,,,,,NONE,,0,0,,,,,60,,,,,,,,,,,,,,,,,
212,PEARLS_70,,HC,70,,,,,,NONE,,0,0,,,,,70,,,,,,,,,,,,,,,,,
213,PEARLS_75,,HC,75,,,,,,NONE,,0,0,,,,,75,,,,,,,,,,,,,,,,,
214,PEARLS_100,,HC,100,,,,,,NONE,,0,0,,,,,100,,,,,,,,,,,,,,,,,
215,PEARLS_250,,HC,250,,,,,,NONE,,0,0,,,,,250,,,,,,,,,,,,,,,,,
216,SC_CREW_10000,,SC_CREW,10000,,,,,,NONE,,0,0,,,,,,,10000,,,,,,,,,,,,,,,
217,SC_CREW_100000,,SC_CREW,100000,,,,,,NONE,,0,0,,,,,,,100000,,,,,,,,,,,,,,,
218,SC_CREW_250000,,SC_CREW,250000,,,,,,NONE,,0,0,,,,,,,250000,,,,,,,,,,,,,,,
219,SC_CREW_1000000,,SC_CREW,1000000,,,,,,NONE,,0,0,,,,,,,1000000,,,,,,,,,,,,,,,
220,SC_CREW_2000000,,SC_CREW,2000000,,,,,,NONE,,0,0,,,,,,,2000000,,,,,,,,,,,,,,,
221,SC_ITEM_10000,,SC_ITEM,10000,,,,,,NONE,,0,0,,,,,,10000,,,,,,,,,,,,,,,,
222,SC_ITEM_50000,,SC_ITEM,50000,,,,,,NONE,,0,0,,,,,,50000,,,,,,,,,,,,,,,,
223,SC_ITEM_100000,,SC_ITEM,100000,,,,,,NONE,,0,0,,,,,,100000,,,,,,,,,,,,,,,,
224,SC_ITEM_500000,,SC_ITEM,500000,,,,,,NONE,,0,0,,,,,,500000,,,,,,,,,,,,,,,,
225,SC_ITEM_1000000,,SC_ITEM,1000000,,,,,,NONE,,0,0,,,,,,1000000,,,,,,,,,,,,,,,,
226,INVENTORY_SLOTS_5,,,,,,,,5,NONE,,0,0,,,,,,,,,,,,,,,,,,,,,,
227,SC_CREW_1000,,SC_CREW,1000,,,,,,NONE,,0,0,,,,,,,1000,,,,,,,,,,,,,,,
228,SC_CREW_1500,,SC_CREW,1500,,,,,,NONE,,0,0,,,,,,,1500,,,,,,,,,,,,,,,
229,SC_CREW_2000,,SC_CREW,2000,,,,,,NONE,,0,0,,,,,,,2000,,,,,,,,,,,,,,,
230,SC_CREW_2500,,SC_CREW,2500,,,,,,NONE,,0,0,,,,,,,2500,,,,,,,,,,,,,,,
231,SC_CREW_3000,,SC_CREW,3000,,,,,,NONE,,0,0,,,,,,,3000,,,,,,,,,,,,,,,
232,SC_CREW_3500,,SC_CREW,3500,,,,,,NONE,,0,0,,,,,,,3500,,,,,,,,,,,,,,,
233,SC_CREW_4000,,SC_CREW,4000,,,,,,NONE,,0,0,,,,,,,4000,,,,,,,,,,,,,,,
234,SC_CREW_5000,,SC_CREW,5000,,,,,,NONE,,0,0,,,,,,,5000,,,,,,,,,,,,,,,
235,SC_CREW_6000,,SC_CREW,6000,,,,,,NONE,,0,0,,,,,,,6000,,,,,,,,,,,,,,,
236,SC_CREW_7000,,SC_CREW,7000,,,,,,NONE,,0,0,,,,,,,7000,,,,,,,,,,,,,,,
237,SC_CREW_8000,,SC_CREW,8000,,,,,,NONE,,0,0,,,,,,,8000,,,,,,,,,,,,,,,
238,SC_CREW_9000,,SC_CREW,9000,,,,,,NONE,,0,0,,,,,,,9000,,,,,,,,,,,,,,,
239,SC_CREW_20000,,SC_CREW,20000,,,,,,NONE,,0,0,,,,,,,20000,,,,,,,,,,,,,,,
240,SC_ITEM_500,,SC_ITEM,500,,,,,,NONE,,0,0,,,,,,500,,,,,,,,,,,,,,,,
241,SC_ITEM_1000,,SC_ITEM,1000,,,,,,NONE,,0,0,,,,,,1000,,,,,,,,,,,,,,,,
242,SC_ITEM_1500,,SC_ITEM,1500,,,,,,NONE,,0,0,,,,,,1500,,,,,,,,,,,,,,,,
243,SC_ITEM_2000,,SC_ITEM,2000,,,,,,NONE,,0,0,,,,,,2000,,,,,,,,,,,,,,,,
244,SC_ITEM_2500,,SC_ITEM,2500,,,,,,NONE,,0,0,,,,,,2500,,,,,,,,,,,,,,,,
245,SC_ITEM_3000,,SC_ITEM,3000,,,,,,NONE,,0,0,,,,,,3000,,,,,,,,,,,,,,,,
246,SC_ITEM_3500,,SC_ITEM,3500,,,,,,NONE,,0,0,,,,,,3500,,,,,,,,,,,,,,,,
247,SC_ITEM_4000,,SC_ITEM,4000,,,,,,NONE,,0,0,,,,,,4000,,,,,,,,,,,,,,,,
248,SC_ITEM_5000,,SC_ITEM,5000,,,,,,NONE,,0,0,,,,,,5000,,,,,,,,,,,,,,,,
249,SC_ITEM_6000,,SC_ITEM,6000,,,,,,NONE,,0,0,,,,,,6000,,,,,,,,,,,,,,,,
250,SC_ITEM_7000,,SC_ITEM,7000,,,,,,NONE,,0,0,,,,,,7000,,,,,,,,,,,,,,,,
251,SC_ITEM_8000,,SC_ITEM,8000,,,,,,NONE,,0,0,,,,,,8000,,,,,,,,,,,,,,,,
252,SC_ITEM_9000,,SC_ITEM,9000,,,,,,NONE,,0,0,,,,,,9000,,,,,,,,,,,,,,,,
253,SC_ITEM_15000,,SC_ITEM,15000,,,,,,NONE,,0,0,,,,,,15000,,,,,,,,,,,,,,,,
254,SC_ITEM_20000,,SC_ITEM,20000,,,,,,NONE,,0,0,,,,,,20000,,,,,,,,,,,,,,,,
255,SC_CREW_15000,,SC_CREW,15000,,,,,,NONE,,0,0,,,,,,,15000,,,,,,,,,,,,,,,
256,PEARLS_200,,HC,200,,,,,,NONE,,0,0,,,,,200,,,,,,,,,,,,,,,,,
257,PEARLS_400,,HC,400,,,,,,NONE,,0,0,,,,,400,,,,,,,,,,,,,,,,,
258,SC_CREW_25000,,SC_CREW,25000,,,,,,NONE,,0,0,,,,,,,25000,,,,,,,,,,,,,,,
259,SC_CREW_50000,,SC_CREW,50000,,,,,,NONE,,0,0,,,,,,,50000,,,,,,,,,,,,,,,
260,SC_CREW_75000,,SC_CREW,75000,,,,,,NONE,,0,0,,,,,,,75000,,,,,,,,,,,,,,,
261,PEARLS_500,,HC,500,,,,,,NONE,,0,0,,,,,500,,,,,,,,,,,,,,,,,
262,PEARLS_1000,,HC,1000,,,,,,NONE,,0,0,,,,,1000,,,,,,,,,,,,,,,,,
300,SC_GUILD_1000,,SC_GUILD,1000,,,,,,NONE,,0,0,,,,,,,,,,1000,,,,,,,,,,,,
301,SC_GUILD_100000,,SC_GUILD,100000,,,,,,NONE,,0,0,,,,,,,,,,100000,,,,,,,,,,,,
302,SC_GUILD_QUEST_EASY,,SC_GUILD,1000,,,,,,NONE,,0,0,,,,,,,,,,1000,,,,,,,,,,,,
303,SC_GUILD_QUEST_MEDIUM,,SC_GUILD,1250,,,,,,NONE,,0,0,,,,,,,,,,1250,,,,,,,,,,,,
304,SC_GUILD_QUEST_HARD,,SC_GUILD,1500,,,,,,NONE,,0,0,,,,,,,,,,1500,,,,,,,,,,,,
305,SC_GUILD_QUEST_VERY_HARD,,SC_GUILD,1750,,,,,,NONE,,0,0,,,,,,,,,,1750,,,,,,,,,,,,
306,SC_GUILD_QUEST_INSANE,,SC_GUILD,2000,,,,,,NONE,,0,0,,,,,,,,,,2000,,,,,,,,,,,,
307,SC_GUILD_QUEST_BOARD_COMPLETE,,SC_GUILD,12000,,,,,,NONE,,0,0,,,,,,,,,,12000,,,,,,,,,,,,
308,SC_GUILD_BOOSTER_2X,,SC_GUILD,10,,,,,,NONE,,0,0,,,,,,,,,,10,,,,,,,,,,,,
309,SC_GUILD_BOOSTER_5X,,SC_GUILD,40,,,,,,NONE,,0,0,,,,,,,,,,40,,,,,,,,,,,,
310,SC_GUILD_EMPTY,,SC_GUILD,0,,,,,,NONE,,0,0,,,,,,,,,,0,,,,,,,,,,,,
1001,RESOURCE_BUNDLE_EMPTY,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
1002,RESOURCE_BUNDLE_PEARLS,,HC,1,,,,,,NORMAL,3,0,0,,,,,1,,,,,,,,,,,,,,,,,
1003,RESOURCE_BUNDLE_PEARLS_R2,,HC,5,,,,,,NONE,,0,0,,,,,5,,,,,,,,,,,,,,,,,
1004,RESOURCE_BUNDLE_PEARLS_R3,,HC,25,,,,,,NONE,,0,0,,,,,25,,,,,,,,,,,,,,,,,
1005,RESOURCE_BUNDLE_PEARLS_R4,,HC,100,,,,,,NONE,,0,0,,,,,100,,,,,,,,,,,,,,,,,
1006,RESOURCE_BUNDLE_PEARLS_R5,,HC,0,,,,,,NONE,,0,0,,,,,0,,,,,,,,,,,,,,,,,
1007,RESOURCE_BUNDLE_L1_R1,,SC_ITEM,5000,SC_CREW,2500,,,,NORMAL,250,-1,0,,,,,,5000,2500,,,,,,,,,,,,,,,
1008,RESOURCE_BUNDLE_L1_R2,,SC_ITEM,10000,SC_CREW,5000,,,,NORMAL,250,-1,0,,,,,,10000,5000,,,,,,,,,,,,,,,
1009,RESOURCE_BUNDLE_L5_R1,,SC_ITEM,6105,SC_CREW,3080,,,,NORMAL,500,-1,0,,,,,,5550,2800,,,,,,,,,,,,,,,
1010,RESOURCE_BUNDLE_L5_R2,,SC_ITEM,12210,SC_CREW,6160,,,,NORMAL,500,-1,0,,,,,,11100,5600,,,,,,,,,,,,,,,
1011,RESOURCE_BUNDLE_L5_R3,,SC_ITEM,22000,SC_CREW,11000,,,,NORMAL,500,-1,0,,,,,,20000,10000,,,,,,,,,,,,,,,
1012,RESOURCE_BUNDLE_L10_R1,,SC_ITEM,7440,SC_CREW,3720,,,,NORMAL,1000,-1,0,,,,,,6200,3100,,,,,,,,,,,,,,,
1013,RESOURCE_BUNDLE_L10_R2,,SC_ITEM,14760,SC_CREW,7440,,,,NORMAL,1000,-1,0,,,,,,12300,6200,,,,,,,,,,,,,,,
1014,RESOURCE_BUNDLE_L10_R3,,SC_ITEM,26640,SC_CREW,13320,,,,NORMAL,1000,-1,0,,,,,,22200,11100,,,,,,,,,,,,,,,
1015,RESOURCE_BUNDLE_L10_R4,,SC_ITEM,42000,SC_CREW,24000,,,,NORMAL,1000,-1,0,,,,,,35000,20000,,,,,,,,,,,,,,,
1016,RESOURCE_BUNDLE_L15_R1,,SC_ITEM,8970,SC_CREW,4550,,,,NORMAL,1500,-1,0,,,,,,6900,3500,,,,,,,,,,,,,,,
1017,RESOURCE_BUNDLE_L15_R2,,SC_ITEM,17810,SC_CREW,9100,,,,NORMAL,1500,-1,0,,,,,,13700,7000,,,,,,,,,,,,,,,
1018,RESOURCE_BUNDLE_L15_R3,,SC_ITEM,32110,SC_CREW,16120,,,,NORMAL,1500,-1,0,,,,,,24700,12400,,,,,,,,,,,,,,,
1019,RESOURCE_BUNDLE_L15_R4,,SC_ITEM,50700,SC_CREW,28860,,,,NORMAL,1500,-1,0,,,,,,39000,22200,,,,,,,,,,,,,,,
1020,RESOURCE_BUNDLE_L20_R1,,SC_ITEM,10780,SC_CREW,5600,,,,NORMAL,2000,-1,0,,,,,,7700,4000,,,,,,,,,,,,,,,
1021,RESOURCE_BUNDLE_L20_R2,,SC_ITEM,21280,SC_CREW,10920,,,,NORMAL,2000,-1,0,,,,,,15200,7800,,,,,,,,,,,,,,,
1022,RESOURCE_BUNDLE_L20_R3,,SC_ITEM,38360,SC_CREW,19320,,,,NORMAL,2000,-1,0,,,,,,27400,13800,,,,,,,,,,,,,,,
1023,RESOURCE_BUNDLE_L20_R4,,SC_ITEM,60760,SC_CREW,34440,,,,NORMAL,2000,-1,0,,,,,,43400,24600,,,,,,,,,,,,,,,
1024,RESOURCE_BUNDLE_L25_R1,,SC_ITEM,12825,SC_CREW,6750,,,,NORMAL,2500,-1,0,,,,,,8550,4500,,,,,,,,,,,,,,,
1025,RESOURCE_BUNDLE_L25_R2,,SC_ITEM,25350,SC_CREW,13050,,,,NORMAL,2500,-1,0,,,,,,16900,8700,,,,,,,,,,,,,,,
1026,RESOURCE_BUNDLE_L25_R3,,SC_ITEM,45750,SC_CREW,23100,,,,NORMAL,2500,-1,0,,,,,,30500,15400,,,,,,,,,,,,,,,
1027,RESOURCE_BUNDLE_L25_R4,,SC_ITEM,72300,SC_CREW,41250,,,,NORMAL,2500,-1,0,,,,,,48200,27500,,,,,,,,,,,,,,,
1028,RESOURCE_BUNDLE_L30_R1,,SC_ITEM,15200,SC_CREW,8000,,,,NORMAL,3000,-1,0,,,,,,9500,5000,,,,,,,,,,,,,,,
1029,RESOURCE_BUNDLE_L30_R2,,SC_ITEM,30080,SC_CREW,15520,,,,NORMAL,3000,-1,0,,,,,,18800,9700,,,,,,,,,,,,,,,
1030,RESOURCE_BUNDLE_L30_R3,,SC_ITEM,54400,SC_CREW,27360,,,,NORMAL,3000,-1,0,,,,,,34000,17100,,,,,,,,,,,,,,,
1031,RESOURCE_BUNDLE_L30_R4,,SC_ITEM,85600,SC_CREW,48800,,,,NORMAL,3000,-1,0,,,,,,53500,30500,,,,,,,,,,,,,,,
1032,RESOURCE_BUNDLE_L35_R1,,SC_ITEM,18020,SC_CREW,9520,,,,NORMAL,3500,-1,0,,,,,,10600,5600,,,,,,,,,,,,,,,
1033,RESOURCE_BUNDLE_L35_R2,,SC_ITEM,35530,SC_CREW,18360,,,,NORMAL,3500,-1,0,,,,,,20900,10800,,,,,,,,,,,,,,,
1034,RESOURCE_BUNDLE_L35_R3,,SC_ITEM,64260,SC_CREW,32300,,,,NORMAL,3500,-1,0,,,,,,37800,19000,,,,,,,,,,,,,,,
1035,RESOURCE_BUNDLE_L35_R4,,SC_ITEM,101150,SC_CREW,57800,,,,NORMAL,3500,-1,0,,,,,,59500,34000,,,,,,,,,,,,,,,
1036,RESOURCE_BUNDLE_L40_R1,,SC_ITEM,21240,SC_CREW,11340,,,,NORMAL,4000,-1,0,,,,,,11800,6300,,,,,,,,,,,,,,,
1037,RESOURCE_BUNDLE_L40_R2,,SC_ITEM,41760,SC_CREW,21600,,,,NORMAL,4000,-1,0,,,,,,23200,12000,,,,,,,,,,,,,,,
1038,RESOURCE_BUNDLE_L40_R3,,SC_ITEM,75600,SC_CREW,37980,,,,NORMAL,4000,-1,0,,,,,,42000,21100,,,,,,,,,,,,,,,
1039,RESOURCE_BUNDLE_L40_R4,,SC_ITEM,118800,SC_CREW,68400,,,,NORMAL,4000,-1,0,,,,,,66000,38000,,,,,,,,,,,,,,,
1040,RESOURCE_BUNDLE_L45_R1,,SC_ITEM,24890,SC_CREW,13300,,,,NORMAL,4500,-1,0,,,,,,13100,7000,,,,,,,,,,,,,,,
1041,RESOURCE_BUNDLE_L45_R2,,SC_ITEM,49020,SC_CREW,25460,,,,NORMAL,4500,-1,0,,,,,,25800,13400,,,,,,,,,,,,,,,
1042,RESOURCE_BUNDLE_L45_R3,,SC_ITEM,88730,SC_CREW,44650,,,,NORMAL,4500,-1,0,,,,,,46700,23500,,,,,,,,,,,,,,,
1043,RESOURCE_BUNDLE_L45_R4,,SC_ITEM,139650,SC_CREW,80560,,,,NORMAL,4500,-1,0,,,,,,73500,42400,,,,,,,,,,,,,,,
1044,RESOURCE_BUNDLE_L50_R1,,SC_ITEM,29200,SC_CREW,15600,,,,NORMAL,5000,-1,0,,,,,,14600,7800,,,,,,,,,,,,,,,
1045,RESOURCE_BUNDLE_L50_R2,,SC_ITEM,57400,SC_CREW,30000,,,,NORMAL,5000,-1,0,,,,,,28700,15000,,,,,,,,,,,,,,,
1046,RESOURCE_BUNDLE_L50_R3,,SC_ITEM,104000,SC_CREW,52200,,,,NORMAL,5000,-1,0,,,,,,52000,26100,,,,,,,,,,,,,,,
1047,RESOURCE_BUNDLE_L50_R4,,SC_ITEM,164000,SC_CREW,94200,,,,NORMAL,5000,-1,0,,,,,,82000,47100,,,,,,,,,,,,,,,
2001,DAILY_QUEST_SC_CREW_R1,,SC_CREW,12000,,,,,,NONE,,0,-1,,,,,,,12000,,,,,,,,,,,,,,,
2002,DAILY_QUEST_SC_ITEM_R1,,SC_ITEM,15000,,,,,,NONE,,0,-1,,,,,,15000,,,,,,,,,,,,,,,,
2003,DAILY_QUEST_SC_CREW_R2,,SC_CREW,16000,,,,,,NONE,,0,-1,,,,,,,16000,,,,,,,,,,,,,,,
2004,DAILY_QUEST_SC_ITEM_R2,,SC_ITEM,20000,,,,,,NONE,,0,-1,,,,,,20000,,,,,,,,,,,,,,,,
2005,DAILY_QUEST_SC_CREW_R3,,SC_CREW,24000,,,,,,NONE,,0,-1,,,,,,,24000,,,,,,,,,,,,,,,
2006,DAILY_QUEST_SC_ITEM_R3,,SC_ITEM,35000,,,,,,NONE,,0,-1,,,,,,35000,,,,,,,,,,,,,,,,
2007,DAILY_QUEST_SC_CREW_R4,,SC_CREW,40000,,,,,,NONE,,0,-1,,,,,,,40000,,,,,,,,,,,,,,,
2008,DAILY_QUEST_SC_ITEM_R4,,SC_ITEM,60000,,,,,,NONE,,0,-1,,,,,,60000,,,,,,,,,,,,,,,,
2009,DAILY_QUEST_SC_CREW_R0,,SC_CREW,8000,,,,,,NONE,,0,-1,,,,,,,8000,,,,,,,,,,,,,,,
