ID,TextID,Description,Objectives,ObjectiveOperation,,
25,STEP_DEAL_5000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_5000_DAMAGE,AND,,
26,STEP_DEAL_7000_DAMAGE,QUEST_STEP_DEAL_DAMAGE,OBJECTIVE_DEAL_7000_DAMAGE,AND,,
27,STEP_DROP_100_MINES,QUEST_STEP_DROP_MINES,OBJECTIVE_DROP_100_MINES,AND,,
28,STEP_FIRE_100_SHOTS,QUEST_STEP_FIRE_SHOTS,OBJECTIVE_FIRE_100_SHOTS,AND,,
29,STEP_WIN_10_BATTLES,QUEST_STEP_WIN_BATTLES,OBJECTIVE_WIN_10_BATTLES,AND,,
30,STEP_KILL_10_WITH_BLAST_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_BLAST_CANNON,AND,,
31,STEP_KILL_10_WITH_STANDARD_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_STANDARD_CANNON,AND,,
32,STEP_KILL_10_WITH_SNIPER_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_SNIPER_CANNON,AND,,
33,STEP_KILL_10_WITH_STANDARD_CARRONADE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_STANDARD_CARRONADE,AND,,
34,STEP_KILL_10_WITH_FIRE_BOMB,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_FIRE_BOMB,AND,,
35,STEP_KILL_10_WITH_FLARE_GUN,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_FLARE_GUN,AND,,
36,STEP_KILL_10_WITH_GRENADE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_GRENADE,AND,,
37,STEP_KILL_10_WITH_MINE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_MINE,AND,,
38,STEP_KILL_10_WITH_MISSILE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_MISSILE,AND,,
39,STEP_KILL_10_WITH_BIG_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_BIG_MORTAR,AND,,
40,STEP_KILL_10_WITH_LARGE_AREA_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_LARGE_AREA_MORTAR,AND,,
41,STEP_KILL_10_WITH_LONG_RANGE_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_LONG_RANGE_MORTAR,AND,,
42,STEP_KILL_10_WITH_STANDARD_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_STANDARD_MORTAR,AND,,
43,STEP_KILL_10_WITH_NAPALM,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_NAPALM,AND,,
44,STEP_KILL_10_WITH_RAILGUN,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_RAILGUN,AND,,
45,STEP_KILL_10_WITH_FAST_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_FAST_TORPEDO,AND,,
46,STEP_KILL_10_WITH_BIG_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_BIG_TORPEDO,AND,,
47,STEP_KILL_10_WITH_TRIPLE_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_10_WITH_TRIPLE_TORPEDO,AND,,
48,STEP_COMPLETE_DAILIES_5,,OBJECTIVE_COMPLETE_DAILIES_5,AND,,
49,STEP_COMPLETE_DAILIES_15,,OBJECTIVE_COMPLETE_DAILIES_15,AND,,
50,STEP_COMPLETE_DAILIES_20,,OBJECTIVE_COMPLETE_DAILIES_20,AND,,
51,STEP_WIN_5_BATTLES,QUEST_STEP_WIN_BATTLES,OBJECTIVE_WIN_5_BATTLES,AND,,
52,STEP_WIN_7_BATTLES,QUEST_STEP_WIN_BATTLES,OBJECTIVE_WIN_7_BATTLES,AND,,
53,STEP_KILL_6_WITH_BLAST_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_BLAST_CANNON,AND,,
54,STEP_KILL_6_WITH_STANDARD_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_STANDARD_CANNON,AND,,
55,STEP_KILL_6_WITH_SNIPER_CANNON,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_SNIPER_CANNON,AND,,
56,STEP_KILL_6_WITH_STANDARD_CARRONADE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_STANDARD_CARRONADE,AND,,
57,STEP_KILL_6_WITH_FIRE_BOMB,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_FIRE_BOMB,AND,,
58,STEP_KILL_6_WITH_FLARE_GUN,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_FLARE_GUN,AND,,
59,STEP_KILL_6_WITH_GRENADE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_GRENADE,AND,,
60,STEP_KILL_6_WITH_MINE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_MINE,AND,,
61,STEP_KILL_6_WITH_MISSILE,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_MISSILE,AND,,
62,STEP_KILL_6_WITH_BIG_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_BIG_MORTAR,AND,,
63,STEP_KILL_6_WITH_LARGE_AREA_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_LARGE_AREA_MORTAR,AND,,
64,STEP_KILL_6_WITH_LONG_RANGE_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_LONG_RANGE_MORTAR,AND,,
65,STEP_KILL_6_WITH_STANDARD_MORTAR,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_STANDARD_MORTAR,AND,,
66,STEP_KILL_6_WITH_NAPALM,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_NAPALM,AND,,
67,STEP_KILL_6_WITH_RAILGUN,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_RAILGUN,AND,,
68,STEP_KILL_6_WITH_FAST_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_FAST_TORPEDO,AND,,
69,STEP_KILL_6_WITH_BIG_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_BIG_TORPEDO,AND,,
70,STEP_KILL_6_WITH_TRIPLE_TORPEDO,QUEST_STEP_DESTROY_SHIPS_ITEM,OBJECTIVE_KILL_6_WITH_TRIPLE_TORPEDO,AND,,
71,STEP_DAMAGE_LOW_WITH_BLAST_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_BLAST_CANNON,AND,,
72,STEP_DAMAGE_LOW_WITH_STANDARD_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_CANNON,AND,,
73,STEP_DAMAGE_LOW_WITH_SNIPER_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_SNIPER_CANNON,AND,,
74,STEP_DAMAGE_LOW_WITH_STANDARD_CARRONADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_CARRONADE,AND,,
75,STEP_DAMAGE_LOW_WITH_GRENADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_GRENADE,AND,,
76,STEP_DAMAGE_LOW_WITH_STANDARD_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_MORTAR,AND,,
77,STEP_DAMAGE_LOW_WITH_BIG_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_LOW_WITH_BIG_TORPEDO,AND,,
78,STEP_DAMAGE_MEDIUM_WITH_BLAST_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_BLAST_CANNON,AND,,
79,STEP_DAMAGE_MEDIUM_WITH_STANDARD_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_CANNON,AND,,
80,STEP_DAMAGE_MEDIUM_WITH_SNIPER_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_SNIPER_CANNON,AND,,
81,STEP_DAMAGE_MEDIUM_WITH_STANDARD_CARRONADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_CARRONADE,AND,,
82,STEP_DAMAGE_MEDIUM_WITH_FIRE_BOMB,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_FIRE_BOMB,AND,,
83,STEP_DAMAGE_MEDIUM_WITH_FLARE_GUN,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_FLARE_GUN,AND,,
84,STEP_DAMAGE_MEDIUM_WITH_GRENADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_GRENADE,AND,,
85,STEP_DAMAGE_MEDIUM_WITH_MINE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_MINE,AND,,
86,STEP_DAMAGE_MEDIUM_WITH_MISSILE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_MISSILE,AND,,
87,STEP_DAMAGE_MEDIUM_WITH_BIG_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_BIG_MORTAR,AND,,
88,STEP_DAMAGE_MEDIUM_WITH_LARGE_AREA_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_LARGE_AREA_MORTAR,AND,,
89,STEP_DAMAGE_MEDIUM_WITH_LONG_RANGE_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_LONG_RANGE_MORTAR,AND,,
90,STEP_DAMAGE_MEDIUM_WITH_STANDARD_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_MORTAR,AND,,
91,STEP_DAMAGE_MEDIUM_WITH_NAPALM,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_NAPALM,AND,,
92,STEP_DAMAGE_MEDIUM_WITH_FAST_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_FAST_TORPEDO,AND,,
93,STEP_DAMAGE_MEDIUM_WITH_BIG_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_BIG_TORPEDO,AND,,
94,STEP_DAMAGE_MEDIUM_WITH_TRIPLE_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_MEDIUM_WITH_TRIPLE_TORPEDO,AND,,
95,STEP_DAMAGE_HIGH_WITH_BLAST_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_BLAST_CANNON,AND,,
96,STEP_DAMAGE_HIGH_WITH_STANDARD_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_CANNON,AND,,
97,STEP_DAMAGE_HIGH_WITH_SNIPER_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_SNIPER_CANNON,AND,,
98,STEP_DAMAGE_HIGH_WITH_STANDARD_CARRONADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_CARRONADE,AND,,
99,STEP_DAMAGE_HIGH_WITH_FIRE_BOMB,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_FIRE_BOMB,AND,,
100,STEP_DAMAGE_HIGH_WITH_FLARE_GUN,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_FLARE_GUN,AND,,
101,STEP_DAMAGE_HIGH_WITH_GRENADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_GRENADE,AND,,
102,STEP_DAMAGE_HIGH_WITH_MINE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_MINE,AND,,
103,STEP_DAMAGE_HIGH_WITH_MISSILE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_MISSILE,AND,,
104,STEP_DAMAGE_HIGH_WITH_BIG_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_BIG_MORTAR,AND,,
105,STEP_DAMAGE_HIGH_WITH_LARGE_AREA_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_LARGE_AREA_MORTAR,AND,,
106,STEP_DAMAGE_HIGH_WITH_LONG_RANGE_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_LONG_RANGE_MORTAR,AND,,
107,STEP_DAMAGE_HIGH_WITH_STANDARD_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_MORTAR,AND,,
108,STEP_DAMAGE_HIGH_WITH_NAPALM,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_NAPALM,AND,,
109,STEP_DAMAGE_HIGH_WITH_RAILGUN,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_RAILGUN,AND,,
110,STEP_DAMAGE_HIGH_WITH_FAST_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_FAST_TORPEDO,AND,,
111,STEP_DAMAGE_HIGH_WITH_BIG_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_BIG_TORPEDO,AND,,
112,STEP_DAMAGE_HIGH_WITH_TRIPLE_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_HIGH_WITH_TRIPLE_TORPEDO,AND,,
113,STEP_DAMAGE_VERY_HIGH_WITH_BLAST_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BLAST_CANNON,AND,,
114,STEP_DAMAGE_VERY_HIGH_WITH_STANDARD_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_CANNON,AND,,
115,STEP_DAMAGE_VERY_HIGH_WITH_SNIPER_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_SNIPER_CANNON,AND,,
116,STEP_DAMAGE_VERY_HIGH_WITH_STANDARD_CARRONADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_CARRONADE,AND,,
117,STEP_DAMAGE_VERY_HIGH_WITH_FIRE_BOMB,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FIRE_BOMB,AND,,
118,STEP_DAMAGE_VERY_HIGH_WITH_FLARE_GUN,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FLARE_GUN,AND,,
119,STEP_DAMAGE_VERY_HIGH_WITH_GRENADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_GRENADE,AND,,
120,STEP_DAMAGE_VERY_HIGH_WITH_MINE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_MINE,AND,,
121,STEP_DAMAGE_VERY_HIGH_WITH_MISSILE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_MISSILE,AND,,
122,STEP_DAMAGE_VERY_HIGH_WITH_BIG_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BIG_MORTAR,AND,,
123,STEP_DAMAGE_VERY_HIGH_WITH_LARGE_AREA_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_LARGE_AREA_MORTAR,AND,,
124,STEP_DAMAGE_VERY_HIGH_WITH_LONG_RANGE_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_LONG_RANGE_MORTAR,AND,,
125,STEP_DAMAGE_VERY_HIGH_WITH_STANDARD_MORTAR,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_MORTAR,AND,,
126,STEP_DAMAGE_VERY_HIGH_WITH_NAPALM,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_NAPALM,AND,,
127,STEP_DAMAGE_VERY_HIGH_WITH_RAILGUN,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_RAILGUN,AND,,
128,STEP_DAMAGE_VERY_HIGH_WITH_FAST_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FAST_TORPEDO,AND,,
129,STEP_DAMAGE_VERY_HIGH_WITH_BIG_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BIG_TORPEDO,AND,,
130,STEP_DAMAGE_VERY_HIGH_WITH_TRIPLE_TORPEDO,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_TRIPLE_TORPEDO,AND,,
131,STEP_HEAL_6000,QUEST_STEP_HEAL,OBJECTIVE_HEAL_6000,AND,,
132,STEP_HEAL_9000,QUEST_STEP_HEAL,OBJECTIVE_HEAL_9000,AND,,
133,STEP_HEAL_12000,QUEST_STEP_HEAL,OBJECTIVE_HEAL_12000,AND,,
134,STEP_HEAL_16000,QUEST_STEP_HEAL,OBJECTIVE_HEAL_16000,AND,,
135,STEP_HEAL_20000,QUEST_STEP_HEAL,OBJECTIVE_HEAL_20000,AND,,
136,STEP_PROGRESS_DEAL_DAMAGE_200_CANNON,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_PROGRESS_DEAL_DAMAGE_200_CANNON,AND,,
137,STEP_PROGRESS_BUY_ITEM_10,QUEST_STEP_PROGRESS_BUY_ITEMS,OBJECTIVE_PROGRESS_BUY_ITEM_10,AND,,
138,STEP_PROGRESS_LEVEL_ITEM_5_CANNON,QUEST_STEP_PROGRESS_LEVEL_ITEM,OBJECTIVE_PROGRESS_LEVEL_ITEM_5_CANNON,AND,,
139,STEP_PROGRESS_BUY_ITEM_1_SPEED_PASSIVE_UNCOMMON,QUEST_STEP_PROGRESS_BUY_ITEMS,OBJECTIVE_PROGRESS_BUY_ITEM_1_SPEED_PASSIVE_UNCOMMON,AND,,
140,STEP_PROGRESS_ASSIGN_ITEM_TO_SHIP_1_SPEED_PASSIVE,QUEST_STEP_PROGRESS_EQUIP_ITEM,OBJECTIVE_PROGRESS_ASSIGN_ITEM_TO_SHIP_1_SPEED_PASSIVE,AND,,
141,STEP_PROGRESS_TRAIN_3_BHURT,QUEST_STEP_PROGRESS_TRAIN,OBJECTIVE_PROGRESS_TRAIN_3_BHURT,AND,,
142,STEP_PROGRESS_EARN_INFAMY_300,QUEST_STEP_PROGRESS_INFAMY,OBJECTIVE_PROGRESS_EARN_INFAMY_300,AND,,
143,STEP_PROGRESS_BUY_ITEM_1_GRENADE_UNCOMMON,QUEST_STEP_PROGRESS_BUY_ITEM,OBJECTIVE_PROGRESS_BUY_ITEM_1_GRENADE_UNCOMMON,AND,,
144,STEP_PROGRESS_DEAL_DAMAGE_300_GRENADE,QUEST_STEP_DAMAGE_WITH_ITEM,OBJECTIVE_PROGRESS_DEAL_DAMAGE_300_GRENADE,AND,,
145,STEP_PROGRESS_TRAIN_2_SWIFT,QUEST_STEP_PROGRESS_TRAIN,OBJECTIVE_PROGRESS_TRAIN_2_SWIFT,AND,,
146,STEP_PROGRESS_LEVEL_ITEM_5_SPEED_PASSIVE,QUEST_STEP_PROGRESS_LEVEL_ITEM,OBJECTIVE_PROGRESS_LEVEL_ITEM_5_SPEED_PASSIVE,AND,,
147,STEP_PROGRESS_TRAIN_4_BHURT,QUEST_STEP_PROGRESS_TRAIN,OBJECTIVE_PROGRESS_TRAIN_4_BHURT,AND,,
148,STEP_PROGRESS_FUSE_ITEMS_10,QUEST_STEP_PROGRESS_FUSE_ITEMS,OBJECTIVE_PROGRESS_FUSE_ITEMS_10,AND,,
149,STEP_PROGRESS_BUY_SHIP_1_SPEED_SHIP,QUEST_STEP_PROGRESS_BUY_SHIP_SPEED,OBJECTIVE_PROGRESS_BUY_SHIP_1_SPEED_SHIP,AND,,
150,STEP_PROGRESS_CAPTAIN_LEVEL_5,QUEST_STEP_PROGRESS_CAPTAIN_LEVEL,OBJECTIVE_PROGRESS_CAPTAIN_LEVEL_5,AND,,
151,STEP_PROGRESS_TRAIN_2_ISAK,QUEST_STEP_PROGRESS_TRAIN,OBJECTIVE_PROGRESS_TRAIN_2_ISAK,AND,,
152,STEP_PROGRESS_HIRE_1_MORTIMER,QUEST_STEP_PROGRESS_HIRE,OBJECTIVE_PROGRESS_HIRE_1_MORTIMER,AND,,
153,STEP_PROGRESS_BUY_ITEM_1_MORTAR_UNCOMMON,QUEST_STEP_PROGRESS_BUY_ITEM,OBJECTIVE_PROGRESS_BUY_ITEM_1_MORTAR_UNCOMMON,AND,,
154,STEP_PROGRESS_TRAIN_3_ISAK,QUEST_STEP_PROGRESS_TRAIN,OBJECTIVE_PROGRESS_TRAIN_3_ISAK,AND,,
