ID,TextID,Description,Count,Trigger,Condition,ConditionValue,ConditionName,BonusCondition,BonusConditionValue,BonusMultiplier,Reward,RequiresWin,RequiresGuildFleet,GuildFleetBonus
45,OBJECTIVE_KILL_10_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,8,DESTROY_SHIP,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
46,OBJECTIVE_WIN_5_BATTLES,QUEST_OBJECTIVE_WIN_BATTLES,5,WIN,,,,,,,,,,
47,OBJECTIVE_WIN_7_BATTLES,QUEST_OBJECTIVE_WIN_BATTLES,7,WIN,,,,,,,,,,
48,OBJECTIVE_KILL_6_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
49,OBJECTIVE_KILL_6_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
50,OBJECTIVE_KILL_6_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
51,OBJECTIVE_KILL_6_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
52,OBJECTIVE_KILL_6_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
53,OBJECTIVE_KILL_6_WITH_FLARE_GUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
54,OBJECTIVE_KILL_6_WITH_GRENADE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
55,OBJECTIVE_KILL_6_WITH_MINE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,MINE,ITEM_MINE,,,,,,,
56,OBJECTIVE_KILL_6_WITH_MISSILE,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
57,OBJECTIVE_KILL_6_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
58,OBJECTIVE_KILL_6_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
59,OBJECTIVE_KILL_6_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
60,OBJECTIVE_KILL_6_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
61,OBJECTIVE_KILL_6_WITH_NAPALM,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
62,OBJECTIVE_KILL_6_WITH_RAILGUN,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,5,DESTROY_SHIP,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
63,OBJECTIVE_KILL_6_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,3,DESTROY_SHIP,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
64,OBJECTIVE_KILL_6_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
65,OBJECTIVE_KILL_6_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DESTROY_SHIPS_ITEM,4,DESTROY_SHIP,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
66,OBJECTIVE_DAMAGE_LOW_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,4000,DAMAGE,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
67,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,3000,DAMAGE,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
68,OBJECTIVE_DAMAGE_LOW_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,4000,DAMAGE,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
69,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,4000,DAMAGE,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
70,OBJECTIVE_DAMAGE_LOW_WITH_GRENADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,4000,DAMAGE,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
71,OBJECTIVE_DAMAGE_LOW_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,4000,DAMAGE,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
72,OBJECTIVE_DAMAGE_LOW_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,5000,DAMAGE,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
73,OBJECTIVE_DAMAGE_MEDIUM_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
74,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,6000,DAMAGE,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
75,OBJECTIVE_DAMAGE_MEDIUM_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
76,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
77,OBJECTIVE_DAMAGE_MEDIUM_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
78,OBJECTIVE_DAMAGE_MEDIUM_WITH_FLARE_GUN,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
79,OBJECTIVE_DAMAGE_MEDIUM_WITH_GRENADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
80,OBJECTIVE_DAMAGE_MEDIUM_WITH_MINE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,MINE,ITEM_MINE,,,,,,,
81,OBJECTIVE_DAMAGE_MEDIUM_WITH_MISSILE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
82,OBJECTIVE_DAMAGE_MEDIUM_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,10000,DAMAGE,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
83,OBJECTIVE_DAMAGE_MEDIUM_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,6000,DAMAGE,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
84,OBJECTIVE_DAMAGE_MEDIUM_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,7000,DAMAGE,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
85,OBJECTIVE_DAMAGE_MEDIUM_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
86,OBJECTIVE_DAMAGE_MEDIUM_WITH_NAPALM,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
87,OBJECTIVE_DAMAGE_MEDIUM_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,8000,DAMAGE,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
88,OBJECTIVE_DAMAGE_MEDIUM_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,10000,DAMAGE,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
89,OBJECTIVE_DAMAGE_MEDIUM_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,10000,DAMAGE,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
90,OBJECTIVE_DAMAGE_HIGH_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
91,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,9000,DAMAGE,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
92,OBJECTIVE_DAMAGE_HIGH_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
93,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
94,OBJECTIVE_DAMAGE_HIGH_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
95,OBJECTIVE_DAMAGE_HIGH_WITH_FLARE_GUN,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
96,OBJECTIVE_DAMAGE_HIGH_WITH_GRENADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
97,OBJECTIVE_DAMAGE_HIGH_WITH_MINE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,MINE,ITEM_MINE,,,,,,,
98,OBJECTIVE_DAMAGE_HIGH_WITH_MISSILE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
99,OBJECTIVE_DAMAGE_HIGH_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,15000,DAMAGE,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
100,OBJECTIVE_DAMAGE_HIGH_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,10000,DAMAGE,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
101,OBJECTIVE_DAMAGE_HIGH_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,9000,DAMAGE,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
102,OBJECTIVE_DAMAGE_HIGH_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
103,OBJECTIVE_DAMAGE_HIGH_WITH_NAPALM,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
104,OBJECTIVE_DAMAGE_HIGH_WITH_RAILGUN,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,18000,DAMAGE,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
105,OBJECTIVE_DAMAGE_HIGH_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,12000,DAMAGE,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
106,OBJECTIVE_DAMAGE_HIGH_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,15000,DAMAGE,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
107,OBJECTIVE_DAMAGE_HIGH_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,15000,DAMAGE,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
108,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BLAST_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,BLAST_CANNON,ITEM_CANNON_BLAST,,,,,,,
109,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,15000,DAMAGE,GROUP,STANDARD_CANNON,ITEM_CANNON,,,,,,,
110,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_SNIPER_CANNON,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,SNIPER_CANNON,ITEM_CANNON_SNIPER,,,,,,,
111,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_CARRONADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,STANDARD_CARRONADE,ITEM_CARRONADE,,,,,,,
112,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FIRE_BOMB,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,FIRE_BOMB,ITEM_FIRE_BOMB,,,,,,,
113,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FLARE_GUN,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,FLARE_GUN,ITEM_FLARE_GUN,,,,,,,
114,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_GRENADE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,GRENADE,ITEM_GRENADE,,,,,,,
115,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_MINE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,MINE,ITEM_MINE,,,,,,,
116,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_MISSILE,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,MISSILE,ITEM_MISSILE,,,,,,,
117,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BIG_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,25000,DAMAGE,GROUP,BIG_MORTAR,ITEM_MORTAR_BIG,,,,,,,
118,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_LARGE_AREA_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,18000,DAMAGE,GROUP,LARGE_AREA_MORTAR,ITEM_MORTAR_LARGE_AREA,,,,,,,
119,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_LONG_RANGE_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,15000,DAMAGE,GROUP,LONG_RANGE_MORTAR,ITEM_MORTAR_LONG_RANGE,,,,,,,
120,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_STANDARD_MORTAR,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,STANDARD_MORTAR,ITEM_MORTAR,,,,,,,
121,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_NAPALM,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,NAPALM,ITEM_NAPALM,,,,,,,
122,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_RAILGUN,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,30000,DAMAGE,GROUP,RAILGUN,ITEM_RAILGUN,,,,,,,
123,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_FAST_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,20000,DAMAGE,GROUP,FAST_TORPEDO,ITEM_TORPEDO_FAST,,,,,,,
124,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_BIG_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,25000,DAMAGE,GROUP,BIG_TORPEDO,ITEM_TORPEDO,,,,,,,
125,OBJECTIVE_DAMAGE_VERY_HIGH_WITH_TRIPLE_TORPEDO,QUEST_OBJECTIVE_DAMAGE_WITH_ITEM,25000,DAMAGE,GROUP,TRIPLE_TORPEDO,ITEM_TORPEDO_TRIPLE,,,,,,,
126,OBJECTIVE_HEAL_6000,QUEST_OBJECTIVE_HEAL,7000,HEAL,,,,,,,,,,
127,OBJECTIVE_HEAL_9000,QUEST_OBJECTIVE_HEAL,10000,HEAL,,,,,,,,,,
128,OBJECTIVE_HEAL_12000,QUEST_OBJECTIVE_HEAL,13000,HEAL,,,,,,,,,,
129,OBJECTIVE_HEAL_16000,QUEST_OBJECTIVE_HEAL,18000,HEAL,,,,,,,,,,
130,OBJECTIVE_HEAL_20000,QUEST_OBJECTIVE_HEAL,22000,HEAL,,,,,,,,,,
