IDText,Level,CaptainRequirement,XP,TrainingTime,Price,Currency,Talents,AchievementID,,
MORTARMAN,19,26,6500,198720,689000,SC_CREW,CANNON_SHIP_HITPOINTS_M_5,MORTARMAN,,
MORTARMAN,20,27,7000,211680,729000,SC_CREW,MORTARMAN_EVO_4,MORTARMAN,,
MORTARMAN,21,29,7500,250560,869000,SC_CREW,WEAPON_DAMAGE_M_1,LONG_RANGE_MORTAR_SPEED_M_10,MORTARMAN,
MORTARMAN,22,30,8000,267840,939000,SC_CREW,CANNON_SHIP_HITPOINTS_M_5,MORTARMAN,,
MORTARMAN,23,31,8500,285120,1019000,SC_CREW,MORTAR_DAMAGE_TO_SLOWED_A_5,BOX_RESOURCE_BONUS_M_5,MORTARMAN,
MORTARMAN,24,31,9000,302400,1069000,SC_CREW,MORTAR_DAMAGE_TO_SLOWED_A_5,LONG_RANGE_MORTAR_SPEED_M_10,MORTARMAN,
MORTARMAN,25,31,10000,319680,1169000,SC_CREW,WEAPON_DAMAGE_M_1,MORTARMAN,,
MORTARMAN,26,31,11000,345600,1269000,SC_CREW,MORTAR_DAMAGE_M_5,BOX_RESOURCE_BONUS_M_5,MORTARMAN,
MORTARMAN,27,35,12000,406080,1179000,SC_CREW,CANNON_SHIP_HITPOINTS_M_5,BIG_MORTAR_DAMAGE_M_10,MORTARMAN,
MORTARMAN,28,35,13000,432000,1644000,SC_CREW,MORTARMAN_EVO_5,MORTARMAN,,
MORTARMAN,29,35,14000,544320,1874000,SC_CREW,MORTAR_DAMAGE_TO_SLOWED_A_5,MORTARMAN,,
MORTARMAN,30,35,15000,604800,1999000,SC_CREW,AREA_DAMAGE_M_5,MORTARMAN,,
CARPENTER,1,8,20,1800,9750,SC_CREW,AREA_HEAL_AMOUNT_M_20,CARPENTER,,
CARPENTER,2,8,20,10800,7750,SC_CREW,HEALING_ITEM_BOOST_M_5,BOX_RESOURCE_BONUS_M_5,CARPENTER,
CARPENTER,3,8,30,10800,15500,SC_CREW,SHIP_HITPOINTS_A_50,AREA_HEAL_AMOUNT_M_10,CARPENTER,
CARPENTER,4,9,40,14400,19500,SC_CREW,HEALING_SHIP_HITPOINTS_A_50,LONG_RANGE_HEAL_AMOUNT_M_10,CARPENTER,
CARPENTER,5,10,50,25200,57500,SC_CREW,SELF_HEAL_AMOUNT_M_10,HEALTH_PACK_AMOUNT_M_10,CARPENTER,
CARPENTER,6,10,90,18000,42500,SC_CREW,SHIP_HITPOINTS_A_50,SELF_HEAL_COOLDOWN_M_10,HEALTH_PACK_RANGE_A_1,CARPENTER
CARPENTER,7,10,150,79200,100000,SC_CREW,AREA_HEAL_AMOUNT_M_10,LONG_RANGE_HEAL_COOLDOWN_M_10,CARPENTER,
CARPENTER,8,11,200,64800,57500,SC_CREW,CARPENTER_EVO_2,CARPENTER,,
CARPENTER,9,12,300,100800,94000,SC_CREW,SHIP_HITPOINTS_A_50,HEALING_ITEM_BOOST_M_5,CARPENTER,
CARPENTER,10,12,400,112320,144000,SC_CREW,HEALTH_PACK_AMOUNT_M_10,SELF_HEAL_AMOUNT_M_10,CARPENTER,
CARPENTER,11,12,1500,120960,174000,SC_CREW,HEALING_COOLDOWN_M_5,CARPENTER,,
CARPENTER,12,16,3000,93600,264000,SC_CREW,HEALTH_PACK_CRITICAL_HEAL_CHANCE_M_5,BOX_RESOURCE_BONUS_M_5,CARPENTER,
CARPENTER,13,20,3500,142560,324000,SC_CREW,SELF_HEAL_COOLDOWN_M_10,LONG_RANGE_HEAL_AMOUNT_M_10,CARPENTER,
CARPENTER,14,21,4000,120960,474000,SC_CREW,CARPENTER_EVO_3,CARPENTER,,
CARPENTER,15,22,4500,164160,514000,SC_CREW,HEALING_COOLDOWN_M_5,HEALTH_PACK_RANGE_A_1,CARPENTER,
CARPENTER,16,22,5000,198720,664000,SC_CREW,SHIP_HITPOINTS_M_3,LONG_RANGE_HEAL_DISABLE_FROST,CARPENTER,
CARPENTER,17,26,5500,211680,734000,SC_CREW,HEALING_SHIP_HITPOINTS_M_5,HEALTH_PACK_CRITICAL_HEAL_AMOUNT_M_50,CARPENTER,
CARPENTER,18,26,6000,224640,704000,SC_CREW,HEALTH_PACK_RANGE_A_1,SELF_HEAL_COOLDOWN_M_10,CARPENTER,
CARPENTER,19,26,6500,237600,798000,SC_CREW,HEALING_ITEM_BOOST_M_5,BOX_RESOURCE_BONUS_M_5,CARPENTER,
CARPENTER,20,28,7000,172800,844000,SC_CREW,CARPENTER_EVO_4,CARPENTER,,
CARPENTER,21,29,7500,267840,914000,SC_CREW,HEALING_ITEM_BOOST_M_5,CARPENTER,,
CARPENTER,22,29,8000,285120,994000,SC_CREW,HEALING_COOLDOWN_M_5,HEALTH_PACK_CRITICAL_HEAL_CHANCE_M_5,CARPENTER,
CARPENTER,23,31,8500,302400,1042500,SC_CREW,HEALTH_PACK_RANGE_A_1,BOX_RESOURCE_BONUS_M_5,CARPENTER,
CARPENTER,24,31,9000,250560,992500,SC_CREW,AREA_HEAL_AMOUNT_M_10,HEALTH_PACK_CRITICAL_HEAL_CHANCE_M_5,CARPENTER,
CARPENTER,25,33,10000,345600,1242500,SC_CREW,HEALING_SHIP_HITPOINTS_M_5,LONG_RANGE_HEAL_DISABLE_STUN,CARPENTER,
CARPENTER,26,33,11000,406080,1482500,SC_CREW,HEALTH_PACK_RANGE_A_1,BOX_RESOURCE_BONUS_M_5,CARPENTER,
CARPENTER,27,34,12000,432000,1607500,SC_CREW,SHIP_HITPOINTS_A_75,LONG_RANGE_HEAL_COOLDOWN_M_10,CARPENTER,
CARPENTER,28,34,13000,483840,1732500,SC_CREW,CARPENTER_EVO_5,CARPENTER,,
CARPENTER,29,34,14000,544320,1857500,SC_CREW,HEALTH_PACK_CRITICAL_HEAL_AMOUNT_M_50,CARPENTER,,
CARPENTER,30,34,15000,604800,1982500,SC_CREW,SHIP_HITPOINTS_M_5,CARPENTER,,
SMITH,1,9,20,28800,21000,SC_CREW,SMALL_SHIELD_HITPOINTS_M_20,SMITH,,
SMITH,2,9,20,2700,10000,SC_CREW,SHIP_DEFENCE_A_2,SMALL_SHIELD_HITPOINTS_A_25,SMITH,
SMITH,3,9,30,7200,14000,SC_CREW,TANK_SHIP_SPEED_M_5,BOX_RESOURCE_BONUS_M_5,SMITH,
SMITH,4,9,40,21600,25000,SC_CREW,SHIP_HITPOINTS_A_25,SHIELD_HITPOINTS_A_25,SMITH,
SMITH,5,11,50,28800,100000,SC_CREW,FIRE_BOMB_DAMAGE_M_10,BIG_SHIELD_HITPOINTS_M_10,SMITH,
SMITH,6,11,90,25200,51000,SC_CREW,TANK_SHIP_HITPOINTS_A_50,SMITH,,
SMITH,7,11,150,32400,70000,SC_CREW,SHIELD_HITPOINTS_A_25,BIG_SHIELD_HITPOINTS_M_5,SMITH,
SMITH,8,12,200,82800,180000,SC_CREW,SMITH_EVO_2,SMITH,,
SMITH,9,13,300,97200,95000,SC_CREW,SHIP_DEFENCE_A_3,BOX_RESOURCE_BONUS_M_5,SMITH,
SMITH,10,13,400,68400,115000,SC_CREW,SHIP_HITPOINTS_A_75,SMITH,,
SMITH,11,13,1500,122400,160000,SC_CREW,FIRE_BOMB_DURATION_A_1,SMITH,,
SMITH,12,17,3000,129600,232500,SC_CREW,TANK_SHIP_HITPOINTS_M_5,SMALL_SHIELD_HITPOINTS_A_25,SMITH,
SMITH,13,20,3500,144000,285000,SC_CREW,SHIELD_HITPOINTS_A_25,FIRE_BOMB_COOLDOWN_M_10,BOX_RESOURCE_BONUS_M_5,SMITH
SMITH,14,21,4000,111600,505000,SC_CREW,SMITH_EVO_3,SMITH,,
SMITH,15,22,4500,158400,425000,SC_CREW,BIG_SHIELD_HITPOINTS_M_10,FIRE_BOMB_DAMAGE_M_10,SMITH,
SMITH,16,24,5000,165600,505000,SC_CREW,SHIP_HITPOINTS_M_5,SMITH,,
SMITH,17,26,5500,172800,565000,SC_CREW,SHIELD_HITPOINTS_A_25,BIG_SHIELD_HITPOINTS_M_5,SMITH,
SMITH,18,26,6000,237600,875000,SC_CREW,SMALL_SHIELD_HITPOINTS_A_25,SMITH,,
SMITH,19,26,6500,250560,625000,SC_CREW,SHIELD_HITPOINTS_M_5,SMITH,,
SMITH,20,28,7000,267840,695000,SC_CREW,SMITH_EVO_4,SMITH,,
SMITH,21,29,7500,285120,775000,SC_CREW,SHIELD_HITPOINTS_M_5,FIRE_BOMB_DURATION_A_1,SMITH,
SMITH,22,29,8000,302400,880000,SC_CREW,SHIP_HITPOINTS_M_5,TANK_SHIP_HITPOINTS_M_10,SMITH,
SMITH,23,31,8500,319680,1030000,SC_CREW,FIRE_BOMB_DURATION_A_1,SMALL_SHIELD_HITPOINTS_A_25,BOX_RESOURCE_BONUS_M_5,SMITH
SMITH,24,31,9000,345600,1180000,SC_CREW,TANK_SHIP_SPEED_M_5,BIG_SHIELD_HITPOINTS_M_5,SMITH,
SMITH,25,31,10000,371520,1280000,SC_CREW,SHIP_HITPOINTS_A_75,TANK_SHIP_HITPOINTS_M_10,SMITH,
SMITH,26,31,11000,406080,1405000,SC_CREW,SHIELD_HITPOINTS_M_5,FIRE_BOMB_DURATION_A_1,BOX_RESOURCE_BONUS_M_5,SMITH
SMITH,27,35,12000,432000,1655000,SC_CREW,SHIP_HITPOINTS_M_5,FIRE_BOMB_COOLDOWN_M_10,SMITH,
SMITH,28,35,13000,483840,1780000,SC_CREW,SMITH_EVO_5,SMITH,,
SMITH,29,35,14000,544320,1900000,SC_CREW,SHIP_DEFENCE_A_5,FIRE_BOMB_DURATION_A_1,SMITH,
SMITH,30,35,15000,604800,2000000,SC_CREW,POINT_DAMAGE_M_5,SMITH,,
DIVER,1,11,20,14400,19750,SC_CREW,BIG_TORPEDO_DAMAGE_M_20,DIVER,,
DIVER,2,11,20,5400,9250,SC_CREW,ALL_TORPEDO_DAMAGE_M_5,BOX_RESOURCE_BONUS_M_5,DIVER,
DIVER,3,11,30,21600,21000,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,DIVER,,
DIVER,4,11,40,36000,31000,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,5,11,50,43200,47500,SC_CREW,ALL_TORPEDO_TO_SLOWED_M_5,DIVER,,
DIVER,6,11,90,64800,97500,SC_CREW,ALL_TORPEDO_SPEED_BOOST_M_10,BOX_RESOURCE_BONUS_M_5,DIVER,
DIVER,7,11,150,86400,125000,SC_CREW,FAST_TORPEDO_DAMAGE_M_10,ALL_TORPEDO_TO_SLOWED_M_5,DIVER,
DIVER,8,13,200,43200,97500,SC_CREW,DIVER_EVO_2,DIVER,,
DIVER,9,13,300,86400,267500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,ALL_TORPEDO_SPEED_BOOST_M_10,DIVER,
DIVER,10,14,400,93600,122500,SC_CREW,SPEED_SHIP_HITPOINTS_M_3,ALL_TORPEDO_SPEED_BOOST_M_10,DIVER,
DIVER,11,14,1500,112320,147500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,12,17,3000,129600,217500,SC_CREW,AREA_DAMAGE_M_2,FAST_TORPEDO_COOLDOWN_M_5,DIVER,
DIVER,13,20,3500,155520,267500,SC_CREW,ALL_TORPEDO_TO_SLOWED_M_5,BIG_TORPEDO_DAMAGE_M_10,DIVER,
DIVER,14,21,4000,164160,397500,SC_CREW,DIVER_EVO_3,DIVER,,
DIVER,15,22,4500,172800,512500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,16,22,5000,183600,562500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,BIG_TORPEDO_DAMAGE_M_10,BOX_RESOURCE_BONUS_M_5,DIVER
DIVER,17,25,5500,198720,627500,SC_CREW,ALL_TORPEDO_DAMAGE_M_5,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,18,26,6000,211680,702500,SC_CREW,ALL_TORPEDO_TO_SLOWED_M_5,DIVER,,
DIVER,19,27,6500,224640,742500,SC_CREW,BIG_TORPEDO_DAMAGE_M_10,FAST_TORPEDO_COOLDOWN_M_5,DIVER,
DIVER,20,28,7000,267840,842500,SC_CREW,DIVER_EVO_4,DIVER,,
DIVER,21,29,7500,285120,912500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,22,29,8000,302400,992500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,23,31,8500,319680,1042500,SC_CREW,ALL_TORPEDO_DAMAGE_A_25,FAST_TORPEDO_SPEED_BOOST_M_15,DIVER,
DIVER,24,31,9000,345600,1142500,SC_CREW,FAST_TORPEDO_SPEED_BOOST_M_20,BOX_RESOURCE_BONUS_M_5,DIVER,
DIVER,25,33,10000,371520,1367500,SC_CREW,BIG_TORPEDO_DAMAGE_M_10,DIVER,,
