RARITY;1STBONUS_VALUE;1STBONUS_NAME;2NDBONUS_VALUE;2NDBONUS_NAME;PERK_NAME;COMPATIBLE_ITEMS
Legendary;12%;CRITICAL_HIT_CHANCE;10%;DAMAGE;Strike_Fire_Grenade;Grenades
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Gat_Damage;Gatling_Gun
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Flare_Gun_Damage;Flare_Gun
Legendary;10%;FIRE_DAMAGE;8%;COOL_DOWN;Scorch_Cannon_Cooldown;All_Cannons
Legendary;8%;DAMAGE;5%;COOL_DOWN;Quickshot_Missile_Damage;All_Missiles
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_to_Frozen_Targets;Ballpark_Mortar
Legendary;6%;COOL_DOWN;12%;RANGE;Reach_Item_Cooldown;Carronade
Legendary;9;DAMAGE;8%;COOL_DOWN;Quickshot_Carronade_Damage;Carronade
Legendary;9;DAMAGE;12%;RANGE;Reach_Carronade_Damage;Carronade
Legendary;8%;DAMAGE;13%;PROJECTILE_SPEED;Speedy_Missile_Damage;All_Missiles
Legendary;12%;FROST_DAMAGE;8%;COOL_DOWN;Quickshot_Damage_to_Frozen_Targets;Big_Torpedo
Legendary;6%;COOL_DOWN;13%;PROJECTILE_SPEED;Speedy_Flare_Gun_Cooldown;Flare_Gun
Legendary;12%;FIRE_DAMAGE;13%;PROJECTILE_SPEED;Speedy_Gatling_Gun_Fire_Damage;Gatling_Gun
