ID,IDText,SkillGroupName,SkillGroup,Description,EffectGroup,Attribute,AttributeValue,AttributeOperation,AttributeValueFormat,ShowValueAsPercentage,Type,TypeID,Scope,BuffSource,BuffContributionMultiplier,,,
24,SHIP_TURRET_SPEED_M_1,GROUP_ALL_SHIPS,SHIP,,,TURRET_ANGULAR_VELOCITY,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
25,SHIP_TURRET_SPEED_M_2,GROUP_ALL_SHIPS,SHIP,,,TURRET_ANGULAR_VELOCITY,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
26,SHIP_TURRET_SPEED_M_3,GROUP_ALL_SHIPS,SHIP,,,TURRET_ANGULAR_VELOCITY,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
27,SHIP_TURRET_SPEED_M_5,GROUP_ALL_SHIPS,SHIP,,,TURRET_ANGULAR_VELOCITY,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
28,SHIP_HITPOINTS_M_3,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
29,SHIP_HITPOINTS_M_5,GROUP_ALL_SHIPS,SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
30,TURRET_ROTATION_A_1,GROUP_ALL_SHIPS,SHIP,,,TURRET_ANGULAR_VELOCITY,1,ADDITIVE,,0,STAT,,SELF,,,,,
31,SHIP_DEFENCE_A_2,GROUP_ALL_SHIPS,SHIP,,,DEFENCE,2,ADDITIVE,,0,STAT,,SELF,,,,,
32,SHIP_DEFENCE_A_3,GROUP_ALL_SHIPS,SHIP,,,DEFENCE,3,ADDITIVE,,0,STAT,,SELF,,,,,
33,SHIP_DEFENCE_A_5,GROUP_ALL_SHIPS,SHIP,,,DEFENCE,5,ADDITIVE,,0,STAT,,SELF,,,,,
34,POINT_DAMAGE_M_1,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
35,POINT_DAMAGE_M_2,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
36,POINT_DAMAGE_M_3,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
37,POINT_DAMAGE_TEAM_M_1,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
38,POINT_DAMAGE_TEAM_M_2,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
39,POINT_DAMAGE_TEAM_M_3,GROUP_POINT_DAMAGE,POINT_DAMAGE,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
40,CANNON_RANGE_M_1,GROUP_CANNON,CANNON,,,MAX_RANGE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
41,CANNON_RANGE_M_2,GROUP_CANNON,CANNON,,,MAX_RANGE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
42,CANNON_RANGE_M_3,GROUP_CANNON,CANNON,,,MAX_RANGE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
43,CANNON_RANGE_M_4,GROUP_CANNON,CANNON,,,MAX_RANGE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
44,CANNON_RANGE_M_5,GROUP_CANNON,CANNON,,,MAX_RANGE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
45,CANNON_DAMAGE_A_5,GROUP_CANNON,CANNON,,,BASE_VALUE,5,ADDITIVE,,0,STAT,,SELF,,,,,
46,CANNON_DAMAGE_A_10,GROUP_CANNON,CANNON,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
47,CANNON_DAMAGE_A_15,GROUP_CANNON,CANNON,,,BASE_VALUE,15,ADDITIVE,,0,STAT,,SELF,,,,,
48,CANNON_DAMAGE_A_20,GROUP_CANNON,CANNON,,,BASE_VALUE,20,ADDITIVE,,0,STAT,,SELF,,,,,
49,CANNON_DAMAGE_A_25,GROUP_CANNON,CANNON,,,BASE_VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
50,CANNON_DAMAGE_M_1,GROUP_CANNON,CANNON,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
51,CANNON_DAMAGE_M_2,GROUP_CANNON,CANNON,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
52,CANNON_DAMAGE_M_3,GROUP_CANNON,CANNON,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
53,CANNON_DAMAGE_M_4,GROUP_CANNON,CANNON,,,BASE_VALUE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
54,CANNON_DAMAGE_M_5,GROUP_CANNON,CANNON,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
55,CANNON_SPEED_M_3,GROUP_CANNON,CANNON,,,PROJECTILE_SPEED,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
56,CANNON_SPEED_M_5,GROUP_CANNON,CANNON,,,PROJECTILE_SPEED,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
57,CANNON_SPEED_M_7,GROUP_CANNON,CANNON,,,PROJECTILE_SPEED,0.07,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
58,CANNON_SPEED_M_10,GROUP_CANNON,CANNON,,,PROJECTILE_SPEED,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
59,STANDARD_CANNON_DAMAGE_M_15,ITEM_CANNON,STANDARD_CANNON,,,BASE_VALUE,0.15,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
60,STANDARD_CANNON_COOLDOWN_M_1,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
61,STANDARD_CANNON_COOLDOWN_M_2,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
62,STANDARD_CANNON_COOLDOWN_M_3,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
63,STANDARD_CANNON_COOLDOWN_M_4,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
64,STANDARD_CANNON_COOLDOWN_M_5,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
65,STANDARD_CANNON_COOLDOWN_M_10,ITEM_CANNON,STANDARD_CANNON,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
66,CANNON_DAMAGE_TEAM_M_1,GROUP_CANNON,CANNON,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
67,CANNON_DAMAGE_TEAM_M_2,GROUP_CANNON,CANNON,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
68,CANNON_DAMAGE_TEAM_M_3,GROUP_CANNON,CANNON,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,TEAM,,,,,
69,CANNON_DAMAGE_SLOWED_M_2,GROUP_CANNON,CANNON,,,BASE_VALUE,0.02,,,,EFFECT,CANNON_TO_SLOWED,SELF,,,,,
70,CANNON_DAMAGE_SLOWED_M_4,GROUP_CANNON,CANNON,,,BASE_VALUE,0.04,,,,EFFECT,CANNON_TO_SLOWED,SELF,,,,,
71,CANNON_DAMAGE_SLOWED_M_6,GROUP_CANNON,CANNON,,,BASE_VALUE,0.06,,,,EFFECT,CANNON_TO_SLOWED,SELF,,,,,
72,CANNON_DAMAGE_SLOWED_M_8,GROUP_CANNON,CANNON,,,BASE_VALUE,0.08,,,,EFFECT,CANNON_TO_SLOWED,SELF,,,,,
73,CANNON_DAMAGE_SLOWED_M_10,GROUP_CANNON,CANNON,,,BASE_VALUE,0.1,,,,EFFECT,CANNON_TO_SLOWED,SELF,,,,,
74,SNIPER_CANNON_DAMAGE_M_5,ITEM_CANNON_SNIPER,SNIPER_CANNON,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
75,SNIPER_CANNON_COOLDOWN_M_10,ITEM_CANNON_SNIPER,SNIPER_CANNON,,,COOLDOWN,-0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
76,SNIPER_CANNON_CRIT_M_1,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,PROC_RATE,0.01,ADDITIVE,,-1,STAT,,SELF,,,,,
77,SNIPER_CANNON_CRIT_M_2,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,PROC_RATE,0.02,ADDITIVE,,-1,STAT,,SELF,,,,,
78,SNIPER_CANNON_CRIT_M_3,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,PROC_RATE,0.03,ADDITIVE,,-1,STAT,,SELF,,,,,
79,SNIPER_CANNON_CRIT_M_5,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,PROC_RATE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
80,SNIPER_CANNON_CRIT_DAMAGE_M_15,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,VALUE,0.15,ADDITIVE,,-1,STAT,,SELF,,,,,
81,SNIPER_CANNON_CRIT_DAMAGE_M_25,ITEM_CANNON_SNIPER,SNIPER_CANNON,,CRIT,VALUE,0.25,ADDITIVE,,-1,STAT,,SELF,,,,,
82,CARRONADE_DAMAGE_A_2,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,2,ADDITIVE,,0,STAT,,SELF,,,,,
83,CARRONADE_DAMAGE_A_3,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,3,ADDITIVE,,0,STAT,,SELF,,,,,
84,CARRONADE_DAMAGE_A_5,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,5,ADDITIVE,,0,STAT,,SELF,,,,,
85,CARRONADE_DAMAGE_A_10,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
86,CARRONADE_DAMAGE_A_15,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,15,ADDITIVE,,0,STAT,,SELF,,,,,
87,SPEED_BOOST_EFFECT_M_2,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
88,SPEED_BOOST_EFFECT_M_3,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
89,SPEED_BOOST_EFFECT_M_5,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
90,SPEED_BOOST_EFFECT_M_10,ITEM_SPEED_OVERBOOST,OVERBOOST,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
91,CARRONADE_RANGE_M_1,GROUP_CARRONADE,CARRONADE,,,MAX_RANGE,1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
92,CARRONADE_RANGE_M_2,GROUP_CARRONADE,CARRONADE,,,MAX_RANGE,2,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
93,CARRONADE_RANGE_M_3,GROUP_CARRONADE,CARRONADE,,,MAX_RANGE,3,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
94,CARRONADE_DAMAGE_M_1,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
95,CARRONADE_DAMAGE_M_2,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
96,CARRONADE_DAMAGE_M_3,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
97,CARRONADE_DAMAGE_M_4,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
98,CARRONADE_DAMAGE_M_5,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
99,CARRONADE_SHIP_SLOW_ENABLE,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,1,,,0,EFFECT,CARRONADE_SLOW,SELF,,,,,
100,CARRONADE_SHIP_SLOW_A_5,GROUP_CARRONADE,CARRONADE,,CARRONADE_SLOW,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
101,CARRONADE_SHIP_SLOW_A_10,GROUP_CARRONADE,CARRONADE,,CARRONADE_SLOW,VALUE,0.2,ADDITIVE,,-1,STAT,,SELF,,,,,
102,CARRONADE_TO_STUNNED_M_2,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.02,,,,EFFECT,CARRONADE_TO_STUNNED,SELF,,,,,
103,CARRONADE_TO_STUNNED_M_3,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.03,,,,EFFECT,CARRONADE_TO_STUNNED,SELF,,,,,
104,CARRONADE_TO_STUNNED_M_5,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.05,,,,EFFECT,CARRONADE_TO_STUNNED,SELF,,,,,
105,CARRONADE_TO_STUNNED_M_10,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.1,,,,EFFECT,CARRONADE_TO_STUNNED,SELF,,,,,
106,CARRONADE_TO_STUNNED_M_15,GROUP_CARRONADE,CARRONADE,,,BASE_VALUE,0.15,,,,EFFECT,CARRONADE_TO_STUNNED,SELF,,,,,
107,BLAST_CANNON_DAMAGE_M_2,ITEM_CANNON_BLAST,BLAST_CANNON,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
108,BLAST_CANNON_DAMAGE_M_4,ITEM_CANNON_BLAST,BLAST_CANNON,,,BASE_VALUE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
109,BLAST_CANNON_DAMAGE_M_5,ITEM_CANNON_BLAST,BLAST_CANNON,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
110,BLAST_CANNON_DAMAGE_M_10,ITEM_CANNON_BLAST,BLAST_CANNON,,,BASE_VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
111,CANNONSHIP_HITPOINTS_A_25,GROUP_CANNON_SHIP,CANNON_SHIP,,,HIT_POINTS,25,ADDITIVE,,0,STAT,,SELF,,,,,
112,CARRONADE_PROJECTILE_A_1,GROUP_CARRONADE,CARRONADE,,,PROJECTILE_COUNT,1,ADDITIVE,,0,STAT,,SELF,,,,,
113,CARRONADE_RANGE_A_1,GROUP_CARRONADE,CARRONADE,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
114,CANNON_CRIT_DAMAGE_M_15,GROUP_CANNON,CANNON,,CRIT,VALUE,0.15,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
115,NITRO_EFFECT_M_5,ITEM_SPEED_NITRO,NITRO,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
116,HARPOON_RANGE_A_1,ITEM_HARPOON,HARPOON,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
117,HARPOON_RANGE_A_2,ITEM_HARPOON,HARPOON,,,MAX_RANGE,2,ADDITIVE,,0,STAT,,SELF,,,,,
118,HARPOON_RANGE_A_3,ITEM_HARPOON,HARPOON,,,MAX_RANGE,3,ADDITIVE,,0,STAT,,SELF,,,,,
119,GRENADE_DAMAGE_A_10,GROUP_GRENADE,GRENADE,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
120,GRENADE_RANGE_A_1,GROUP_GRENADE,GRENADE,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
121,GRENADE_DAMAGE_M_2,GROUP_GRENADE,GRENADE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
122,GRENADE_DAMAGE_M_3,GROUP_GRENADE,GRENADE,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
123,GRENADE_DAMAGE_M_4,GROUP_GRENADE,GRENADE,,,BASE_VALUE,0.04,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
124,GRENADE_DAMAGE_M_5,GROUP_GRENADE,GRENADE,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
125,CONTROL_SHIP_HITPOINTS_A_25,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,HIT_POINTS,25,ADDITIVE,,0,STAT,,SELF,,,,,
126,CANNON_SHIP_HITPOINTS_A_25,GROUP_CANNON_SHIP,CANNON_SHIP,,,HIT_POINTS,25,ADDITIVE,,0,STAT,,SELF,,,,,
127,CONTROL_SHIP_HITPOINTS_M_5,GROUP_CONTROL_SHIP,CONTROL_SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
128,CANNON_SHIP_HITPOINTS_M_5,GROUP_CANNON_SHIP,CANNON_SHIP,,,HIT_POINTS,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
129,HARPOON_DAMAGE_A_25,ITEM_HARPOON,HARPOON,,HARPOON_DAMAGE,VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
130,HARPOON_DAMAGE_M_10,ITEM_HARPOON,HARPOON,,HARPOON_DAMAGE,VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
131,HARPOON_COOLDOWN_M_5,ITEM_HARPOON,HARPOON,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
132,HARPOON_DAMAGE,ITEM_HARPOON,HARPOON,,,,,,,0,EFFECT,HARPOON_DAMAGE,SELF,,,,,
133,AREA_DAMAGE_M_1,GROUP_AREA_DAMAGE,AREA_DAMAGE,,,BASE_VALUE,0.01,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
134,AREA_DAMAGE_M_2,GROUP_AREA_DAMAGE,AREA_DAMAGE,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
135,MORTAR_RANGE_A_1,GROUP_MORTAR,MORTAR,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
136,MORTAR_RANGE_A_2,GROUP_MORTAR,MORTAR,,,MAX_RANGE,2,ADDITIVE,,0,STAT,,SELF,,,,,
137,MORTAR_DAMAGE_A_10,GROUP_MORTAR,MORTAR,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
138,MORTAR_DAMAGE_A_15,GROUP_MORTAR,MORTAR,,,BASE_VALUE,15,ADDITIVE,,0,STAT,,SELF,,,,,
139,MORTAR_DAMAGE_M_2,GROUP_MORTAR,MORTAR,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
140,MORTAR_DAMAGE_M_5,GROUP_MORTAR,MORTAR,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
141,CARRONADE_TURRET_JAM_ENABLE,GROUP_CARRONADE,CARRONADE,,,,1,,,0,EFFECT,CARRONADE_TURRET_JAM,SELF,,,,,
142,CARRONADE_TURRET_JAM_A_5,GROUP_CARRONADE,CARRONADE,,TURRET_JAM,VALUE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
143,CARRONADE_TURRET_JAM_A_10,GROUP_CARRONADE,CARRONADE,,TURRET_JAM,VALUE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
144,GRENADE_RANGE_A_2,GROUP_GRENADE,GRENADE,,,MAX_RANGE,2,ADDITIVE,,0,STAT,,SELF,,,,,
145,GRENADE_DOT,GROUP_GRENADE,GRENADE,,,,1,,,0,EFFECT,GRENADE_DAMAGE_DOT,SELF,,,,,
146,GRENADE_DOT_CHANCE_A_5,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,PROC_RATE,0.05,ADDITIVE,,-1,STAT,,SELF,,,,,
147,GRENADE_DOT_CHANCE_A_10,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,PROC_RATE,0.1,ADDITIVE,,-1,STAT,,SELF,,,,,
148,GRENADE_DOT_CHANCE_A_15,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,PROC_RATE,0.15,ADDITIVE,,-1,STAT,,SELF,,,,,
149,GRENADE_DOT_DAMAGE_M_10,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,VALUE,0.1,MULTIPLICATIVE,,-1,STAT,,SELF,OWN,,,,
150,GRENADE_DOT_DAMAGE_M_25,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,VALUE,0.25,MULTIPLICATIVE,,-1,STAT,,SELF,OWN,,,,
151,GRENADE_DOT_DAMAGE_M_50,GROUP_GRENADE,GRENADE,,GRENADE_DOT_BOOST,VALUE,0.5,MULTIPLICATIVE,,-1,STAT,,SELF,OWN,,,,
152,MORTAR_AREA_M_5,GROUP_MORTAR,MORTAR,,,MAX_RANGE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
153,MORTAR_COOLDOWN_M_2,GROUP_MORTAR,MORTAR,,,COOLDOWN,-0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
154,MORTAR_COOLDOWN_M_3,GROUP_MORTAR,MORTAR,,,COOLDOWN,-0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
155,MORTAR_COOLDOWN_M_5,GROUP_MORTAR,MORTAR,,,COOLDOWN,-0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
156,WEAPON_RANGE_A_1,GROUP_DAMAGE_ITEMS,RANGED_ITEM,,,MAX_RANGE,1,ADDITIVE,,0,STAT,,SELF,,,,,
157,HEALING_ITEM_BOOST_M_2,GROUP_HEALING_ITEMS,HEALING,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
158,HEALING_ITEM_BOOST_M_3,GROUP_HEALING_ITEMS,HEALING,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
159,HEALING_ITEM_BOOST_M_5,GROUP_HEALING_ITEMS,HEALING,,,BASE_VALUE,0.05,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
160,SHIELD_HITPOINTS_A_10,GROUP_SHIELD,SHIELD,,,BASE_VALUE,10,ADDITIVE,,0,STAT,,SELF,,,,,
161,SHIELD_HITPOINTS_A_15,GROUP_SHIELD,SHIELD,,,BASE_VALUE,15,ADDITIVE,,0,STAT,,SELF,,,,,
162,SHIELD_HITPOINTS_A_25,GROUP_SHIELD,SHIELD,,,BASE_VALUE,25,ADDITIVE,,0,STAT,,SELF,,,,,
163,SHIELD_HITPOINTS_M_2,GROUP_SHIELD,SHIELD,,,BASE_VALUE,0.02,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
164,SHIELD_HITPOINTS_M_3,GROUP_SHIELD,SHIELD,,,BASE_VALUE,0.03,MULTIPLICATIVE,,-1,STAT,,SELF,,,,,
