ID,IDText,Name,Category,Description,Icon,CrewIcon,SlotCategory,SlotCost,TalentRequirements,Tier,Rarity,Evolution,PerkSlots,BuyCurrency,BuyPrice,SellPrice,SalvageOutput,ValueName,ValueIcon,ValueBase,ValueMax,ValueGroupMax,ValueGroupMaxItem,ItemEvoPath,TruncateToInteger,CurveID,LevelCostID,Type,TypeID,Prefab,ShowInPerkInfo,LevelOffset,PowerLevelBase,PowerLevelMax,DamageAchievement,ObsoleteItem,,,,
10,V1_CANNON_R4_E1,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,4,1,1,SC_ITEM,1485000,750000,,TEXT_DAMAGE,stats/stat_damage,91,152,313,V1_CANNON_R4_E3,,-1,DEFAULT_XP_R4_E1,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,167,284,,,,,,
11,V1_CANNON_R4_E2,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,4,2,2,SC_ITEM,2970000,1350000,,TEXT_DAMAGE,stats/stat_damage,152,223,313,V1_CANNON_R4_E3,,-1,DEFAULT_XP_R4_E2,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,295,412,,,,,,
12,V1_CANNON_R4_E3,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,4,3,3,SC_ITEM,5494500,2550000,,TEXT_DAMAGE,stats/stat_damage,223,313,313,V1_CANNON_R4_E3,,-1,DEFAULT_XP_R4_E3,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,449,566,,,,,,
13,V1_CANNON_R5_E1,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,5,1,2,SC_ITEM,3484800,1760000,,TEXT_DAMAGE,stats/stat_damage,114,200,399,V1_CANNON_R5_E3,,-1,DEFAULT_XP_R5_E1,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,573,726,,,,,,
14,V1_CANNON_R5_E2,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,5,2,3,SC_ITEM,6446880,2640000,,TEXT_DAMAGE,stats/stat_damage,200,294,399,V1_CANNON_R5_E3,,-1,DEFAULT_XP_R5_E2,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,712,865,,,,,,
15,V1_CANNON_R5_E3,ITEM_CANNON,CATEGORY_CANNON,ITEM_CANNON_DESCRIPTION,items/item_cannon_1,crew/crew_cannoneer_iteminfo,ATTACK,1,,7,5,3,4,SC_ITEM,11282040,4558400,,TEXT_DAMAGE,stats/stat_damage,294,399,399,V1_CANNON_R5_E3,,-1,DEFAULT_XP_R5_E3,,SKILL,CANNON_SKILL,weapons/Cannon_1,0,,796,949,,,,,,
16,V1_CANNON_BLAST_R1_E1,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,1,1,1,0,SC_ITEM,2970,1500,,TEXT_DAMAGE,stats/stat_damage,87,121,190,V1_CANNON_BLAST_R1_E3,,-1,DEFAULT_XP_R1_E1,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,100,127,,,,,,
17,V1_CANNON_BLAST_R1_E2,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,1,2,0,SC_ITEM,23760,9000,,TEXT_DAMAGE,stats/stat_damage,121,156,190,V1_CANNON_BLAST_R1_E3,,-1,DEFAULT_XP_R1_E2,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,136,163,,,,,,
18,V1_CANNON_BLAST_R1_E3,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,1,3,0,SC_ITEM,118800,36000,,TEXT_DAMAGE,stats/stat_damage,156,190,190,V1_CANNON_BLAST_R1_E3,,-1,DEFAULT_XP_R1_E3,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,168,195,,,,,,
19,V1_CANNON_BLAST_R2_E1,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,2,1,0,SC_ITEM,25600,12930,,TEXT_DAMAGE,stats/stat_damage,104,147,319,V1_CANNON_BLAST_R2_E3,,-1,DEFAULT_XP_R2_E1,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,120,183,,,,,,
20,V1_CANNON_BLAST_R2_E2,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,2,2,1,SC_ITEM,153550,64630,,TEXT_DAMAGE,stats/stat_damage,147,207,319,V1_CANNON_BLAST_R2_E3,,-1,DEFAULT_XP_R2_E2,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,192,255,,,,,,
21,V1_CANNON_BLAST_R2_E3,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,2,3,2,SC_ITEM,614200,232650,,TEXT_DAMAGE,stats/stat_damage,207,319,319,V1_CANNON_BLAST_R2_E3,,-1,DEFAULT_XP_R2_E3,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,258,321,,,,,,
22,V1_CANNON_BLAST_R3_E1,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,3,1,1,SC_ITEM,351750,154000,,TEXT_DAMAGE,stats/stat_damage,130,207,432,V1_CANNON_BLAST_R3_E3,,-1,DEFAULT_XP_R3_E1,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,144,234,,,,,,
23,V1_CANNON_BLAST_R3_E2,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,3,2,2,SC_ITEM,1055250,444130,,TEXT_DAMAGE,stats/stat_damage,207,302,432,V1_CANNON_BLAST_R3_E3,,-1,DEFAULT_XP_R3_E2,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,249,339,,,,,,
24,V1_CANNON_BLAST_R3_E3,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,3,3,3,SC_ITEM,2110490,879370,,TEXT_DAMAGE,stats/stat_damage,302,432,432,V1_CANNON_BLAST_R3_E3,,-1,DEFAULT_XP_R3_E3,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,343,433,,,,,,
25,V1_CANNON_BLAST_R4_E1,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,4,1,1,SC_ITEM,1603800,810000,,TEXT_DAMAGE,stats/stat_damage,164,276,569,V1_CANNON_BLAST_R4_E3,,-1,DEFAULT_XP_R4_E1,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,167,284,,,,,,
26,V1_CANNON_BLAST_R4_E2,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,4,2,2,SC_ITEM,3207600,1458000,,TEXT_DAMAGE,stats/stat_damage,276,406,569,V1_CANNON_BLAST_R4_E3,,-1,DEFAULT_XP_R4_E2,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,295,412,,,,,,
27,V1_CANNON_BLAST_R4_E3,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,4,3,3,SC_ITEM,5934060,2754000,,TEXT_DAMAGE,stats/stat_damage,406,569,569,V1_CANNON_BLAST_R4_E3,,-1,DEFAULT_XP_R4_E3,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,449,566,,,,,,
28,V1_CANNON_BLAST_R5_E1,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,5,1,2,SC_ITEM,3693890,1865600,,TEXT_DAMAGE,stats/stat_damage,207,363,725,V1_CANNON_BLAST_R5_E3,,-1,DEFAULT_XP_R5_E1,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,573,726,,,,,,
29,V1_CANNON_BLAST_R5_E2,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,5,2,3,SC_ITEM,6833700,2798400,,TEXT_DAMAGE,stats/stat_damage,363,535,725,V1_CANNON_BLAST_R5_E3,,-1,DEFAULT_XP_R5_E2,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,712,865,,,,,,
30,V1_CANNON_BLAST_R5_E3,ITEM_CANNON_BLAST,CATEGORY_CANNON,ITEM_CANNON_BLAST_DESCRIPTION,items/item_cannon_2,crew/crew_cannoneer_iteminfo,ATTACK,1,,7,5,3,4,SC_ITEM,11958970,4831910,,TEXT_DAMAGE,stats/stat_damage,535,725,725,V1_CANNON_BLAST_R5_E3,,-1,DEFAULT_XP_R5_E3,,SKILL,CANNON_SKILL_BLAST,weapons/Cannon_2,0,,796,949,,,,,,
31,V1_CANNON_SNIPER_R1_E1,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,1,1,1,0,SC_ITEM,2610,1320,,TEXT_DAMAGE,stats/stat_damage,65,91,143,V1_CANNON_SNIPER_R1_E3,,-1,DEFAULT_XP_R1_E1,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,100,127,,,,,,
32,V1_CANNON_SNIPER_R1_E2,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,1,2,0,SC_ITEM,20840,7900,,TEXT_DAMAGE,stats/stat_damage,91,117,143,V1_CANNON_SNIPER_R1_E3,,-1,DEFAULT_XP_R1_E2,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,136,163,,,,,,
33,V1_CANNON_SNIPER_R1_E3,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,1,3,0,SC_ITEM,104200,31580,,TEXT_DAMAGE,stats/stat_damage,117,143,143,V1_CANNON_SNIPER_R1_E3,,-1,DEFAULT_XP_R1_E3,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,168,195,,,,,,
34,V1_CANNON_SNIPER_R2_E1,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,2,2,1,0,SC_ITEM,24490,12370,,TEXT_DAMAGE,stats/stat_damage,78,110,240,V1_CANNON_SNIPER_R2_E3,,-1,DEFAULT_XP_R2_E1,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,120,183,,,,,,
35,V1_CANNON_SNIPER_R2_E2,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,2,2,1,SC_ITEM,146920,61840,,TEXT_DAMAGE,stats/stat_damage,110,156,240,V1_CANNON_SNIPER_R2_E3,,-1,DEFAULT_XP_R2_E2,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,192,255,,,,,,
36,V1_CANNON_SNIPER_R2_E3,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,2,3,2,SC_ITEM,587680,222610,,TEXT_DAMAGE,stats/stat_damage,156,240,240,V1_CANNON_SNIPER_R2_E3,,-1,DEFAULT_XP_R2_E3,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,258,321,,,,,,
37,V1_CANNON_SNIPER_R3_E1,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,3,3,1,1,SC_ITEM,336560,147350,,TEXT_DAMAGE,stats/stat_damage,97,156,324,V1_CANNON_SNIPER_R3_E3,,-1,DEFAULT_XP_R3_E1,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,144,234,,,,,,
38,V1_CANNON_SNIPER_R3_E2,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,3,2,2,SC_ITEM,1009680,424950,,TEXT_DAMAGE,stats/stat_damage,156,227,324,V1_CANNON_SNIPER_R3_E3,,-1,DEFAULT_XP_R3_E2,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,249,339,,,,,,
39,V1_CANNON_SNIPER_R3_E3,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,3,3,3,SC_ITEM,2019350,841400,,TEXT_DAMAGE,stats/stat_damage,227,324,324,V1_CANNON_SNIPER_R3_E3,,-1,DEFAULT_XP_R3_E3,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,343,433,,,,,,
40,V1_CANNON_SNIPER_R4_E1,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,4,4,1,1,SC_ITEM,1562970,789380,,TEXT_DAMAGE,stats/stat_damage,123,207,427,V1_CANNON_SNIPER_R4_E3,,-1,DEFAULT_XP_R4_E1,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,167,284,,,,,,
41,V1_CANNON_SNIPER_R4_E2,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,4,2,2,SC_ITEM,3125930,1420880,,TEXT_DAMAGE,stats/stat_damage,207,304,427,V1_CANNON_SNIPER_R4_E3,,-1,DEFAULT_XP_R4_E2,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,295,412,,,,,,
42,V1_CANNON_SNIPER_R4_E3,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,4,3,3,SC_ITEM,5782970,2683880,,TEXT_DAMAGE,stats/stat_damage,304,427,427,V1_CANNON_SNIPER_R4_E3,,-1,DEFAULT_XP_R4_E3,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,449,566,,,,,,
43,V1_CANNON_SNIPER_R5_E1,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,5,5,1,2,SC_ITEM,3667760,1852400,,TEXT_DAMAGE,stats/stat_damage,156,272,544,V1_CANNON_SNIPER_R5_E3,,-1,DEFAULT_XP_R5_E1,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,573,726,,,,,,
44,V1_CANNON_SNIPER_R5_E2,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,6,5,2,3,SC_ITEM,6785350,2778600,,TEXT_DAMAGE,stats/stat_damage,272,401,544,V1_CANNON_SNIPER_R5_E3,,-1,DEFAULT_XP_R5_E2,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,712,865,,,,,,
45,V1_CANNON_SNIPER_R5_E3,ITEM_CANNON_SNIPER,CATEGORY_CANNON,ITEM_CANNON_SNIPER_DESCRIPTION,items/item_cannon_4,crew/crew_cannoneer_iteminfo,ATTACK,1,,7,5,3,4,SC_ITEM,11874350,4797720,,TEXT_DAMAGE,stats/stat_damage,401,544,544,V1_CANNON_SNIPER_R5_E3,,-1,DEFAULT_XP_R5_E3,,SKILL,CANNON_SKILL_SNIPER,weapons/Cannon_4,0,,796,949,,,,,,
46,V1_CARRONADE_R1_E1,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,1,1,1,0,SC_ITEM,2500,1270,,TEXT_DAMAGE,stats/stat_damage,13,19,29,V1_CARRONADE_R1_E3,,-1,DEFAULT_XP_R1_E1,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,100,127,,,,,,
47,V1_CARRONADE_R1_E2,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,2,1,2,0,SC_ITEM,20000,7580,,TEXT_DAMAGE,stats/stat_damage,19,24,29,V1_CARRONADE_R1_E3,,-1,DEFAULT_XP_R1_E2,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,136,163,,,,,,
48,V1_CARRONADE_R1_E3,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,3,1,3,0,SC_ITEM,99990,30300,,TEXT_DAMAGE,stats/stat_damage,24,29,29,V1_CARRONADE_R1_E3,,-1,DEFAULT_XP_R1_E3,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,168,195,,,,,,
49,V1_CARRONADE_R2_E1,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,2,2,1,0,SC_ITEM,23500,11870,,TEXT_DAMAGE,stats/stat_damage,16,22,48,V1_CARRONADE_R2_E3,,-1,DEFAULT_XP_R2_E1,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,120,183,,,,,,
50,V1_CARRONADE_R2_E2,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,3,2,2,1,SC_ITEM,140990,59340,,TEXT_DAMAGE,stats/stat_damage,22,32,48,V1_CARRONADE_R2_E3,,-1,DEFAULT_XP_R2_E2,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,192,255,,,,,,
51,V1_CARRONADE_R2_E3,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,4,2,3,2,SC_ITEM,563950,213620,,TEXT_DAMAGE,stats/stat_damage,32,48,48,V1_CARRONADE_R2_E3,,-1,DEFAULT_XP_R2_E3,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,258,321,,,,,,
52,V1_CARRONADE_R3_E1,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,3,3,1,1,SC_ITEM,322970,141400,,TEXT_DAMAGE,stats/stat_damage,20,32,65,V1_CARRONADE_R3_E3,,-1,DEFAULT_XP_R3_E1,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,144,234,,,,,,
53,V1_CARRONADE_R3_E2,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,4,3,2,2,SC_ITEM,968910,407790,,TEXT_DAMAGE,stats/stat_damage,32,46,65,V1_CARRONADE_R3_E3,,-1,DEFAULT_XP_R3_E2,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,249,339,,,,,,
54,V1_CARRONADE_R3_E3,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,5,3,3,3,SC_ITEM,1937810,807420,,TEXT_DAMAGE,stats/stat_damage,46,65,65,V1_CARRONADE_R3_E3,,-1,DEFAULT_XP_R3_E3,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,343,433,,,,,,
55,V1_CARRONADE_R4_E1,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,4,4,1,1,SC_ITEM,1499850,757500,,TEXT_DAMAGE,stats/stat_damage,25,42,86,V1_CARRONADE_R4_E3,,-1,DEFAULT_XP_R4_E1,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,167,284,,,,,,
56,V1_CARRONADE_R4_E2,ITEM_CARRONADE,CATEGORY_CARRONADE,ITEM_CARRONADE_DESCRIPTION,items/item_carronade_1,crew/crew_sailor_iteminfo,ATTACK,1,,5,4,2,2,SC_ITEM,2999700,1363500,,TEXT_DAMAGE,stats/stat_damage,42,61,86,V1_CARRONADE_R4_E3,,-1,DEFAULT_XP_R4_E2,,SKILL,CARRONADE_SKILL,weapons/Carronade_1,0,,295,412,,,,,,
