ID,IDText,ItemName,Name,ExclusionGroups ,Perks,Icon,Background,CrewIcon,SkillGroupIcon,FittingGroup,Rarity,BuyCurrency,BuyPrice,SellPrice,SalvagePrice,SalvageCurrency,BuffContributionMultiplier,PowerLevel,PowerLevelFactor,
11,CANNON_COOLDOWN_R4,PERK_ITEM_NAME_CANNON_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_CANNON_COOLDOWN_R4,stats/stat_cooldown,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
12,CANNON_COOLDOWN_R5,PERK_ITEM_NAME_CANNON_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_CANNON_COOLDOWN_R5,stats/stat_cooldown,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
13,CANNON_CRIT_R2,PERK_ITEM_NAME_CANNON_CRIT_CHANCE,PERK_NAME_CRIT_CHANCE,,PERK_CANNON_CRIT_R2,stats/stat_crit,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
14,CANNON_CRIT_R3,PERK_ITEM_NAME_CANNON_CRIT_CHANCE,PERK_NAME_CRIT_CHANCE,,PERK_CANNON_CRIT_R3,stats/stat_crit,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,3,SC_ITEM,550000,180000,10,HC,,,0.1,
15,CANNON_CRIT_R4,PERK_ITEM_NAME_CANNON_CRIT_CHANCE,PERK_NAME_CRIT_CHANCE,,PERK_CANNON_CRIT_R4,stats/stat_crit,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
16,CANNON_CRIT_R5,PERK_ITEM_NAME_CANNON_CRIT_CHANCE,PERK_NAME_CRIT_CHANCE,,PERK_CANNON_CRIT_R5,stats/stat_crit,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
17,SHIELD_HITPOINTS_R2,PERK_ITEM_NAME_SHIELD_HITPOINTS,PERK_NAME_SHIELD_HITPOINTS,,PERK_SHIELD_HITPOINTS_R2,stats/stat_health,,crew/crew_smith_iteminfo,talents/shields,SHIELD,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
18,SHIELD_HITPOINTS_R3,PERK_ITEM_NAME_SHIELD_HITPOINTS,PERK_NAME_SHIELD_HITPOINTS,,PERK_SHIELD_HITPOINTS_R3,stats/stat_health,,crew/crew_smith_iteminfo,talents/shields,SHIELD,3,SC_ITEM,550000,180000,10,HC,,,0.1,
19,SHIELD_HITPOINTS_R4,PERK_ITEM_NAME_SHIELD_HITPOINTS,PERK_NAME_SHIELD_HITPOINTS,,PERK_SHIELD_HITPOINTS_R4,stats/stat_health,,crew/crew_smith_iteminfo,talents/shields,SHIELD,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
20,SHIELD_HITPOINTS_R5,PERK_ITEM_NAME_SHIELD_HITPOINTS,PERK_NAME_SHIELD_HITPOINTS,,PERK_SHIELD_HITPOINTS_R5,stats/stat_health,,crew/crew_smith_iteminfo,talents/shields,SHIELD,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
21,RUDDER_AGILITY_R2,PERK_ITEM_NAME_RUDDER_AGILITY,PERK_NAME_SHIP_AGILITY,,,stats/stat_agility_ship,,crew/crew_sailor_iteminfo,items/item_rudder_1,RUDDER,1,SC_ITEM,70000,70000,0,SC_ITEM,,,,
22,RUDDER_AGILITY_R3,PERK_ITEM_NAME_RUDDER_AGILITY,PERK_NAME_SHIP_AGILITY,,,stats/stat_agility_ship,,crew/crew_sailor_iteminfo,items/item_rudder_1,RUDDER,1,SC_ITEM,550000,550000,0,SC_ITEM,,,,
23,RUDDER_AGILITY_R4,PERK_ITEM_NAME_RUDDER_AGILITY,PERK_NAME_SHIP_AGILITY,,,stats/stat_agility_ship,,crew/crew_sailor_iteminfo,items/item_rudder_1,RUDDER,1,SC_ITEM,1500000,1500000,0,SC_ITEM,,,,
24,RUDDER_AGILITY_R5,PERK_ITEM_NAME_RUDDER_AGILITY,PERK_NAME_SHIP_AGILITY,,,stats/stat_agility_ship,,crew/crew_sailor_iteminfo,items/item_rudder_1,RUDDER,1,SC_ITEM,2800000,2800000,0,SC_ITEM,,,,
25,CANNON_DAMAGE_ADD_R2,PERK_ITEM_NAME_CANNON_DAMAGE_2,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_ADD_R2,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
26,CANNON_DAMAGE_ADD_R3,PERK_ITEM_NAME_CANNON_DAMAGE_2,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_ADD_R3,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,3,SC_ITEM,550000,180000,10,HC,,,0.1,
27,CANNON_DAMAGE_ADD_R4,PERK_ITEM_NAME_CANNON_DAMAGE_2,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_ADD_R4,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
28,CANNON_DAMAGE_ADD_R5,PERK_ITEM_NAME_CANNON_DAMAGE_2,PERK_NAME_DAMAGE,,PERK_CANNON_DAMAGE_ADD_R5,stats/stat_damage,,crew/crew_cannoneer_iteminfo,talents/cannons,CANNON,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
29,ITEM_COOLDOWN_R3,PERK_ITEM_NAME_ITEM_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_ITEM_COOLDOWN_R3,stats/stat_cooldown,,crew/crew_scientist_iteminfo,talents/items,ACTIVE_ITEM,3,SC_ITEM,550000,180000,10,HC,,,0.1,
30,ITEM_COOLDOWN_R4,PERK_ITEM_NAME_ITEM_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_ITEM_COOLDOWN_R4,stats/stat_cooldown,,crew/crew_scientist_iteminfo,talents/items,ACTIVE_ITEM,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
31,ITEM_COOLDOWN_R5,PERK_ITEM_NAME_ITEM_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_ITEM_COOLDOWN_R5,stats/stat_cooldown,,crew/crew_scientist_iteminfo,talents/items,ACTIVE_ITEM,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
32,CARRONADE_PROJECTILE_R5,PERK_ITEM_NAME_CARRONADE_PROJECTILE,PERK_NAME_PROJECTILE,,PERK_CARRONADE_PROJECTILE_R5,stats/stat_projectiles,,crew/crew_sailor_iteminfo,items/item_carronade_1,CARRONADE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
33,CARRONADE_DAMAGE_ADD_R2,PERK_ITEM_NAME_CARRONADE_DAMAGE_ADD,PERK_NAME_DAMAGE,,PERK_CARRONADE_DAMAGE_ADD_R2,stats/stat_damage,,crew/crew_sailor_iteminfo,items/item_carronade_1,CARRONADE,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
34,CARRONADE_DAMAGE_ADD_R3,PERK_ITEM_NAME_CARRONADE_DAMAGE_ADD,PERK_NAME_DAMAGE,,PERK_CARRONADE_DAMAGE_ADD_R3,stats/stat_damage,,crew/crew_sailor_iteminfo,items/item_carronade_1,CARRONADE,3,SC_ITEM,550000,180000,10,HC,,,0.1,
35,CARRONADE_DAMAGE_ADD_R4,PERK_ITEM_NAME_CARRONADE_DAMAGE_ADD,PERK_NAME_DAMAGE,,PERK_CARRONADE_DAMAGE_ADD_R4,stats/stat_damage,,crew/crew_sailor_iteminfo,items/item_carronade_1,CARRONADE,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
36,CARRONADE_DAMAGE_ADD_R5,PERK_ITEM_NAME_CARRONADE_DAMAGE_ADD,PERK_NAME_DAMAGE,,PERK_CARRONADE_DAMAGE_ADD_R5,stats/stat_damage,,crew/crew_sailor_iteminfo,items/item_carronade_1,CARRONADE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
37,WEAPON_DAMAGE_R2,PERK_ITEM_NAME_WEAPON_DAMAGE,PERK_NAME_DAMAGE,,PERK_WEAPON_DAMAGE_R2,stats/stat_damage,,crew/crew_mortarman_iteminfo,talents/weapons,WEAPON,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
38,WEAPON_DAMAGE_R3,PERK_ITEM_NAME_WEAPON_DAMAGE,PERK_NAME_DAMAGE,,PERK_WEAPON_DAMAGE_R3,stats/stat_damage,,crew/crew_mortarman_iteminfo,talents/weapons,WEAPON,3,SC_ITEM,550000,180000,10,HC,,,0.1,
39,WEAPON_DAMAGE_R4,PERK_ITEM_NAME_WEAPON_DAMAGE,PERK_NAME_DAMAGE,,PERK_WEAPON_DAMAGE_R4,stats/stat_damage,,crew/crew_mortarman_iteminfo,talents/weapons,WEAPON,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
40,WEAPON_DAMAGE_R5,PERK_ITEM_NAME_WEAPON_DAMAGE,PERK_NAME_DAMAGE,,PERK_WEAPON_DAMAGE_R5,stats/stat_damage,,crew/crew_mortarman_iteminfo,talents/weapons,WEAPON,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
41,SHIELD_DEFENCE_R2,PERK_ITEM_NAME_SHIELD_DEFENCE,PERK_NAME_SHIELD_DEFENCE,,PERK_SHIELD_DEFENCE_R2,stats/stat_defence,,crew/crew_smith_iteminfo,talents/shields,SHIELD,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
42,SHIELD_DEFENCE_R3,PERK_ITEM_NAME_SHIELD_DEFENCE,PERK_NAME_SHIELD_DEFENCE,,PERK_SHIELD_DEFENCE_R3,stats/stat_defence,,crew/crew_smith_iteminfo,talents/shields,SHIELD,3,SC_ITEM,550000,180000,10,HC,,,0.1,
43,SHIELD_DEFENCE_R4,PERK_ITEM_NAME_SHIELD_DEFENCE,PERK_NAME_SHIELD_DEFENCE,,PERK_SHIELD_DEFENCE_R4,stats/stat_defence,,crew/crew_smith_iteminfo,talents/shields,SHIELD,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
44,SHIELD_DEFENCE_R5,PERK_ITEM_NAME_SHIELD_DEFENCE,PERK_NAME_SHIELD_DEFENCE,,PERK_SHIELD_DEFENCE_R5,stats/stat_defence,,crew/crew_smith_iteminfo,talents/shields,SHIELD,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
45,RAILGUN_COOLDOWN_R2,PERK_ITEM_NAME_RAILGUN_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_RAILGUN_COOLDOWN_R2,stats/stat_cooldown,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
46,RAILGUN_COOLDOWN_R3,PERK_ITEM_NAME_RAILGUN_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_RAILGUN_COOLDOWN_R3,stats/stat_cooldown,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,3,SC_ITEM,550000,180000,10,HC,,,0.1,
47,RAILGUN_COOLDOWN_R4,PERK_ITEM_NAME_RAILGUN_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_RAILGUN_COOLDOWN_R4,stats/stat_cooldown,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
48,RAILGUN_COOLDOWN_R5,PERK_ITEM_NAME_RAILGUN_COOLDOWN,PERK_NAME_COOLDOWN,,PERK_RAILGUN_COOLDOWN_R5,stats/stat_cooldown,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
49,RAILGUN_DAMAGE_R2,PERK_ITEM_NAME_RAILGUN_DAMAGE,PERK_NAME_DAMAGE,,PERK_RAILGUN_DAMAGE_R2,stats/stat_damage,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
50,RAILGUN_DAMAGE_R3,PERK_ITEM_NAME_RAILGUN_DAMAGE,PERK_NAME_DAMAGE,,PERK_RAILGUN_DAMAGE_R3,stats/stat_damage,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,3,SC_ITEM,550000,180000,10,HC,,,0.1,
51,RAILGUN_DAMAGE_R4,PERK_ITEM_NAME_RAILGUN_DAMAGE,PERK_NAME_DAMAGE,,PERK_RAILGUN_DAMAGE_R4,stats/stat_damage,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
52,RAILGUN_DAMAGE_R5,PERK_ITEM_NAME_RAILGUN_DAMAGE,PERK_NAME_DAMAGE,,PERK_RAILGUN_DAMAGE_R5,stats/stat_damage,,crew/crew_scientist_iteminfo,items/item_railgun_1,RAILGUN,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
53,OVERBOOST_DURATION_R2,PERK_ITEM_NAME_OVERBOOST_DURATION,PERK_NAME_DURATION_SPEED,,PERK_OVERBOOST_DURATION_R2,stats/stat_duration,,crew/crew_sailor_iteminfo,items/item_speed_1,OVERBOOST,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
54,OVERBOOST_DURATION_R3,PERK_ITEM_NAME_OVERBOOST_DURATION,PERK_NAME_DURATION_SPEED,,PERK_OVERBOOST_DURATION_R3,stats/stat_duration,,crew/crew_sailor_iteminfo,items/item_speed_1,OVERBOOST,3,SC_ITEM,550000,180000,10,HC,,,0.1,
55,OVERBOOST_DURATION_R4,PERK_ITEM_NAME_OVERBOOST_DURATION,PERK_NAME_DURATION_SPEED,,PERK_OVERBOOST_DURATION_R4,stats/stat_duration,,crew/crew_sailor_iteminfo,items/item_speed_1,OVERBOOST,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
56,OVERBOOST_DURATION_R5,PERK_ITEM_NAME_OVERBOOST_DURATION,PERK_NAME_DURATION_SPEED,,PERK_OVERBOOST_DURATION_R5,stats/stat_duration,,crew/crew_sailor_iteminfo,items/item_speed_1,OVERBOOST,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
57,SHIP_HITPOINTS_R2,PERK_ITEM_NAME_SHIP_HITPOINTS,PERK_NAME_SHIP_HITPOINTS,,PERK_SHIP_HITPOINTS_R2,stats/stat_health,,crew/crew_carpenter_iteminfo,talents/items,ITEM,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
58,SHIP_HITPOINTS_R3,PERK_ITEM_NAME_SHIP_HITPOINTS,PERK_NAME_SHIP_HITPOINTS,,PERK_SHIP_HITPOINTS_R3,stats/stat_health,,crew/crew_carpenter_iteminfo,talents/items,ITEM,3,SC_ITEM,550000,180000,10,HC,,,0.1,
59,SHIP_HITPOINTS_R4,PERK_ITEM_NAME_SHIP_HITPOINTS,PERK_NAME_SHIP_HITPOINTS,,PERK_SHIP_HITPOINTS_R4,stats/stat_health,,crew/crew_carpenter_iteminfo,talents/items,ITEM,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
60,SHIP_HITPOINTS_R5,PERK_ITEM_NAME_SHIP_HITPOINTS,PERK_NAME_SHIP_HITPOINTS,,PERK_SHIP_HITPOINTS_R5,stats/stat_health,,crew/crew_carpenter_iteminfo,talents/items,ITEM,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
61,SPEED_PASSIVE_VALUE_R2,PERK_ITEM_NAME_SPEED_PASSIVE_VALUE,PERK_NAME_SPEED_PASSIVE,,PERK_SPEED_PASSIVE_VALUE_R2,stats/stat_speed,,crew/crew_sailor_iteminfo,items/item_speed_3,TURBO,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
62,SPEED_PASSIVE_VALUE_R3,PERK_ITEM_NAME_SPEED_PASSIVE_VALUE,PERK_NAME_SPEED_PASSIVE,,PERK_SPEED_PASSIVE_VALUE_R3,stats/stat_speed,,crew/crew_sailor_iteminfo,items/item_speed_3,TURBO,3,SC_ITEM,550000,180000,10,HC,,,0.1,
63,SPEED_PASSIVE_VALUE_R4,PERK_ITEM_NAME_SPEED_PASSIVE_VALUE,PERK_NAME_SPEED_PASSIVE,,PERK_SPEED_PASSIVE_VALUE_R4,stats/stat_speed,,crew/crew_sailor_iteminfo,items/item_speed_3,TURBO,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
64,SPEED_PASSIVE_VALUE_R5,PERK_ITEM_NAME_SPEED_PASSIVE_VALUE,PERK_NAME_SPEED_PASSIVE,,PERK_SPEED_PASSIVE_VALUE_R5,stats/stat_speed,,crew/crew_sailor_iteminfo,items/item_speed_3,TURBO,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
65,TESLA_STUN_DURATION_R2,PERK_ITEM_NAME_TESLA_STUN_DURATION,PERK_NAME_DURATION_STUNNED,,PERK_TESLA_STUN_DURATION_R2,stats/stat_duration,,crew/crew_scientist_iteminfo,items/item_tesla_bolt_1,TESLA_BOLT,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
66,TESLA_STUN_DURATION_R3,PERK_ITEM_NAME_TESLA_STUN_DURATION,PERK_NAME_DURATION_STUNNED,,PERK_TESLA_STUN_DURATION_R3,stats/stat_duration,,crew/crew_scientist_iteminfo,items/item_tesla_bolt_1,TESLA_BOLT,3,SC_ITEM,550000,180000,10,HC,,,0.1,
67,TESLA_STUN_DURATION_R4,PERK_ITEM_NAME_TESLA_STUN_DURATION,PERK_NAME_DURATION_STUNNED,,PERK_TESLA_STUN_DURATION_R4,stats/stat_duration,,crew/crew_scientist_iteminfo,items/item_tesla_bolt_1,TESLA_BOLT,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
68,TESLA_STUN_DURATION_R5,PERK_ITEM_NAME_TESLA_STUN_DURATION,PERK_NAME_DURATION_STUNNED,,PERK_TESLA_STUN_DURATION_R5,stats/stat_duration,,crew/crew_scientist_iteminfo,items/item_tesla_bolt_1,TESLA_BOLT,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
69,MISSILE_PROJECTILE_R5,PERK_ITEM_NAME_MISSILE_PROJECTILE,PERK_NAME_PROJECTILE,,PERK_MISSILE_PROJECTILE_R5,stats/stat_projectiles,,crew/crew_bomber_iteminfo,items/item_missile_1,MISSILE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
70,MINE_DAMAGE_R2,PERK_ITEM_NAME_MINE_DAMAGE,PERK_NAME_DAMAGE,,PERK_MINE_DAMAGE_R2,stats/stat_damage,,crew/crew_bomber_iteminfo,items/item_mine_1,MINE,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
71,MINE_DAMAGE_R3,PERK_ITEM_NAME_MINE_DAMAGE,PERK_NAME_DAMAGE,,PERK_MINE_DAMAGE_R3,stats/stat_damage,,crew/crew_bomber_iteminfo,items/item_mine_1,MINE,3,SC_ITEM,550000,180000,10,HC,,,0.1,
72,MINE_DAMAGE_R4,PERK_ITEM_NAME_MINE_DAMAGE,PERK_NAME_DAMAGE,,PERK_MINE_DAMAGE_R4,stats/stat_damage,,crew/crew_bomber_iteminfo,items/item_mine_1,MINE,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
73,MINE_DAMAGE_R5,PERK_ITEM_NAME_MINE_DAMAGE,PERK_NAME_DAMAGE,,PERK_MINE_DAMAGE_R5,stats/stat_damage,,crew/crew_bomber_iteminfo,items/item_mine_1,MINE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
74,TORPEDO_SPEED_R2,PERK_ITEM_NAME_TORPEDO_SPEED,PERK_NAME_PROJECTILE_SPEED,,PERK_TORPEDO_SPEED_R2,stats/stat_projectileSpeed,,crew/crew_diver_iteminfo,talents/torpedoes,TORPEDO,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
75,TORPEDO_SPEED_R3,PERK_ITEM_NAME_TORPEDO_SPEED,PERK_NAME_PROJECTILE_SPEED,,PERK_TORPEDO_SPEED_R3,stats/stat_projectileSpeed,,crew/crew_diver_iteminfo,talents/torpedoes,TORPEDO,3,SC_ITEM,550000,180000,10,HC,,,0.1,
76,TORPEDO_SPEED_R4,PERK_ITEM_NAME_TORPEDO_SPEED,PERK_NAME_PROJECTILE_SPEED,,PERK_TORPEDO_SPEED_R4,stats/stat_projectileSpeed,,crew/crew_diver_iteminfo,talents/torpedoes,TORPEDO,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
77,TORPEDO_SPEED_R5,PERK_ITEM_NAME_TORPEDO_SPEED,PERK_NAME_PROJECTILE_SPEED,,PERK_TORPEDO_SPEED_R5,stats/stat_projectileSpeed,,crew/crew_diver_iteminfo,talents/torpedoes,TORPEDO,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
78,FIRE_DURATION_R2,PERK_ITEM_NAME_FIRE_DURATION,PERK_NAME_DURATION_BURNING,,PERK_FIRE_DURATION_R2,stats/stat_duration,,crew/crew_engineer_iteminfo,talents/fire_items,FIRE,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
79,FIRE_DURATION_R3,PERK_ITEM_NAME_FIRE_DURATION,PERK_NAME_DURATION_BURNING,,PERK_FIRE_DURATION_R3,stats/stat_duration,,crew/crew_engineer_iteminfo,talents/fire_items,FIRE,3,SC_ITEM,550000,180000,10,HC,,,0.1,
80,FIRE_DURATION_R4,PERK_ITEM_NAME_FIRE_DURATION,PERK_NAME_DURATION_BURNING,,PERK_FIRE_DURATION_R4,stats/stat_duration,,crew/crew_engineer_iteminfo,talents/fire_items,FIRE,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
81,FIRE_DURATION_R5,PERK_ITEM_NAME_FIRE_DURATION,PERK_NAME_DURATION_BURNING,,PERK_FIRE_DURATION_R5,stats/stat_duration,,crew/crew_engineer_iteminfo,talents/fire_items,FIRE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
82,TURRET_AGILITY_R2,PERK_ITEM_NAME_TURRET_AGILITY,PERK_NAME_TURRET_SPEED,,,stats/stat_agility_turret,,crew/crew_engineer_iteminfo,items/item_gear_lube_1,LUBE,1,SC_ITEM,70000,70000,0,SC_ITEM,,,,
83,TURRET_AGILITY_R3,PERK_ITEM_NAME_TURRET_AGILITY,PERK_NAME_TURRET_SPEED,,,stats/stat_agility_turret,,crew/crew_engineer_iteminfo,items/item_gear_lube_1,LUBE,1,SC_ITEM,550000,550000,0,SC_ITEM,,,,
84,TURRET_AGILITY_R4,PERK_ITEM_NAME_TURRET_AGILITY,PERK_NAME_TURRET_SPEED,,,stats/stat_agility_turret,,crew/crew_engineer_iteminfo,items/item_gear_lube_1,LUBE,1,SC_ITEM,1500000,1500000,0,SC_ITEM,,,,
85,TURRET_AGILITY_R5,PERK_ITEM_NAME_TURRET_AGILITY,PERK_NAME_TURRET_SPEED,,,stats/stat_agility_turret,,crew/crew_engineer_iteminfo,items/item_gear_lube_1,LUBE,1,SC_ITEM,2800000,2800000,0,SC_ITEM,,,,
86,FREEZE_DURATION_R2,PERK_ITEM_NAME_FREEZE_DURATION,PERK_NAME_DURATION_SLOWED,,PERK_FREEZE_DURATION_R2,stats/stat_duration,,crew/crew_fisherman_iteminfo,talents/freeze_items,FREEZE,2,SC_ITEM,70000,20000,500,SC_ITEM,,,0.05,
87,FREEZE_DURATION_R3,PERK_ITEM_NAME_FREEZE_DURATION,PERK_NAME_DURATION_SLOWED,,PERK_FREEZE_DURATION_R3,stats/stat_duration,,crew/crew_fisherman_iteminfo,talents/freeze_items,FREEZE,3,SC_ITEM,550000,180000,10,HC,,,0.1,
88,FREEZE_DURATION_R4,PERK_ITEM_NAME_FREEZE_DURATION,PERK_NAME_DURATION_SLOWED,,PERK_FREEZE_DURATION_R4,stats/stat_duration,,crew/crew_fisherman_iteminfo,talents/freeze_items,FREEZE,4,SC_ITEM,1500000,350000,25,HC,,,0.15,
89,FREEZE_DURATION_R5,PERK_ITEM_NAME_FREEZE_DURATION,PERK_NAME_DURATION_SLOWED,,PERK_FREEZE_DURATION_R5,stats/stat_duration,,crew/crew_fisherman_iteminfo,talents/freeze_items,FREEZE,5,SC_ITEM,2800000,500000,100,HC,,,0.2,
